	D36E	Leaf1	Leaf127	Leaf130	Leaf148	Leaf155	Leaf176	Leaf177	Leaf187	Leaf404	Leaf48	Leaf53	Leaf58	Leaf70	mock	Root147	Root563	Root604	Root935	Soil763
AT1G01040	-0.225534694207211	0.341732433273104	0.973269074108209	0.939338423346824	0.891370994646596	0.677284266518228	0.897868483819134	0.961690053989295	0.666885955751205	0.924610076545209	1.45491239991207	1.64813100910865	1.2851369042201	1.30596771772921	1.3234037902551	0.835185900916323	0.377575359453023	0.571500768899775	0.998108369520585	0.0949373762986556
AT1G01050	-0.705664880797119	-0.235790035718804	-0.503759694969694	-0.524903966606081	-0.674559069609678	-1.33554717302738	-0.647755876541987	-1.01322352828803	-0.915636886649794	-1.15474040597695	-0.0774245569182983	-0.295143570487427	0.283651689395498	-0.354676813740448	-1.0469880356811	-0.750492123672597	-0.673359809492096	-1.59775761847686	-0.962283036953604	-0.704255028068721
AT1G01080	-3.61990516734663	-3.02329424969715	-0.880229659396332	-1.72613747254366	-1.73123469948364	-1.53339523942861	-2.20851181278997	-0.833332294961193	-1.2883389305031	-0.658250247665104	-1.90335285841668	-2.09170344956329	-1.14353308012448	-1.5334113937706	-0.598296633149719	-1.16712907409686	-1.50556408181726	-1.90373076111896	-2.18840880909794	-2.69428469057168
AT1G01090	-1.4049616633094	-1.1246862209308	-1.43835776529355	-1.64661159839897	-1.61252829800328	-1.36273536517025	-0.751074046246725	-1.04152651156218	-1.04436695469192	-1.04190875168982	-2.56117747435507	-1.23256340200962	-1.74220630737106	-1.65924069396061	-0.602116248521025	-1.04199015517121	-2.13483683522271	-1.09849917842882	-0.484438804142026	-1.87356622453803
AT1G01120	-1.26559067549752	-1.39132595659905	-0.556073106981209	-1.49951469797757	-1.32747046440362	-1.33546364514534	-0.359110181832395	-0.965335492077775	-1.71900660224508	-1.71522014907072	-2.28302726797361	-1.39450310991173	-2.07702623114822	-1.65183004850262	-1.04130038435866	-1.19928464164243	-2.19157133660595	-1.25921780728101	-1.23571104522213	-4.63151203864635
AT1G01160	1.84581323436989	1.90186043299046	2.4317622791677	3.11341966191706	2.2265810477236	3.4292860328291	2.48056631565492	2.82089744377801	2.32322723177373	3.6585067934605	2.49426151582844	2.97026692293373	2.42664190033271	2.47400496134904	4.15286106283422	2.60781703291943	3.15304326216509	2.05261272338265	2.96213393994477	1.48363917523269
AT1G01180	-0.196570841591118	0.113267055314884	-0.395084476081033	-0.738746975677791	-0.00465598406822113	-0.992652424863895	-0.643175413263935	-1.05528748099336	-0.42069321163104	-0.108818145107309	-0.274336745804644	0.384159953955836	-0.730128207287038	0.331369787603006	-1.26369694739082	-0.678941017602206	-0.549526811816317	-0.594526773913999	-1.01764408601234	0.280649595411666
AT1G01310	-4.73258813944608	-0.823338010707436	-0.962794922290524	0.342283481824495	-0.590909421484744	-0.294876655519601	0.714542548396851	0.771706610579776	0.0687319246769693	0.993203919002612	0.332455263552031	0.483853411629716	-0.117524357079738	-0.475224015403687	0.757289392048105	0.519949112518869	-0.366474306859108	-0.331244007301054	0.674966917195872	-0.874357554809649
AT1G01320	-2.11521837461221	0.565397434205036	0.370343153977976	1.55879060862849	0.179641232857219	1.41024186397957	2.30140830575293	2.40157531320402	1.64551669633563	1.6367365547692	0.410810046566705	1.22534180100126	0.461057439751679	0.264656442219395	1.98037123041789	2.22222668053063	1.01767083692596	1.6544643147481	2.47730846450499	0.497101367258957
AT1G01340	-0.329269172968788	-0.309966801254964	-2.1014246073261	-3.12973918243089	-2.41512411595852	-2.91742614920141	-1.5405918255605	-1.46508983696721	-0.962864109487151	-1.29408112123361	-3.48835159476377	-2.41301750733205	-1.92789914498044	-1.4454220899879	-3.2890091585419	-1.15804718831753	-1.58061835820178	-1.32784895070783	-1.60901494437125	-0.620255418993354
