	L155_col_1	L155_vitro_1	L155_vitro_2	L155_vitro_3	L155_col_2	L155_col_3
cds0	57	568	566	545	55	87
cds1	25	77	59	111	4	28
cds10	0	8	34	22	1	3
cds100	9	59	26	47	3	22
cds1000	46	329	348	578	32	74
cds1001	9	7	14	6	2	21
cds1002	0	4	4	5	5	1
cds1003	535	5887	6181	7558	383	564
cds1004	99	297	247	345	67	68
cds1005	280	2483	2106	2928	224	416
cds1006	4	8	19	6	4	9
cds1007	35	163	246	328	27	62
cds1008	6	32	50	62	9	14
cds1009	5	76	75	135	7	13
cds101	142	381	438	453	72	196
cds1010	0	27	26	30	0	0
cds1011	45	906	1022	1213	62	106
cds1012	27	493	530	739	19	28
cds1013	32	112	74	144	12	40
cds1014	147	4	6	21	121	204
cds1015	100	209	263	529	66	161
cds1016	9	43	23	40	4	11
cds1017	31	2	36	45	20	30
cds1018	16	11	18	23	10	6
cds1019	32	191	207	131	15	31
cds102	15	51	32	84	14	25
cds1020	0	42	24	34	2	0
cds1021	0	20	13	17	0	3
cds1022	0	54	82	142	6	10
cds1023	12	34	52	59	17	18
cds1024	26	97	56	167	16	15
cds1025	16	127	128	150	5	38
cds1026	666	2459	2567	3594	593	729
cds1027	546	1684	1930	2653	346	644
cds1028	41	251	257	689	20	41
cds1029	49	347	377	509	57	70
cds103	260	2209	2172	5782	152	364
cds1030	2	0	0	0	0	0
cds1031	5	0	2	5	8	0
cds1032	0	0	0	2	0	1
cds1033	51	42	72	77	53	91
cds1034	0	22	19	35	0	0
cds1035	71	70	64	114	24	60
cds1036	36	161	159	323	29	19
cds1037	386	275	178	324	214	715
cds1038	41	175	93	216	37	75
cds1039	121	639	560	573	75	174
cds104	29	64	70	124	3	7
cds1040	176	1250	967	1188	53	174
cds1041	1226	3280	2648	2499	327	1114
cds1042	41	167	154	216	19	50
cds1043	13	117	121	216	55	20
cds1044	112	414	368	712	92	216
cds1045	12	126	185	194	7	10
cds1046	216	319	399	451	308	494
cds1047	20	120	137	96	15	13
cds1048	62	166	188	272	68	57
cds1049	30	1	11	8	0	12
cds105	231	1608	1849	2591	214	297
cds1050	0	5	0	12	0	0
cds1051	21	15	31	50	13	5
cds1052	29	0	0	2	11	9
cds1053	19	0	2	0	14	41
cds1054	15	435	349	428	16	10
cds1055	153	18	11	13	157	148
cds1056	91	30	24	36	73	108
cds1057	17	102	111	122	19	24
cds1058	19	83	149	189	29	28
cds1059	94	80	128	179	65	118
cds106	55	149	198	215	47	147
cds1060	73	697	695	796	36	55
cds1061	129	1456	1715	1922	116	129
cds1062	150	1954	2155	3701	110	222
cds1063	2	46	33	39	24	6
cds1064	97	237	190	372	42	119
cds1065	153	656	749	824	135	229
cds1066	5	40	23	51	0	0
cds1067	2	43	54	119	20	4
cds1068	170	1288	1553	1844	126	183
cds1069	11	29	23	53	1	2
cds107	2	46	87	63	11	26
cds1070	24	24	67	87	22	40
cds1071	10	14	6	15	0	6
cds1072	19	8	19	12	11	15
cds1073	5	29	19	7	0	0
cds1074	69	579	645	872	64	112
cds1075	52	368	380	451	41	85
cds1076	82	147	110	277	43	76
cds1077	7	36	34	23	2	4
cds1078	5	23	56	36	3	2
cds1079	17	30	47	57	19	4
cds108	128	1305	1365	2002	60	135
cds1080	4	55	31	67	3	33
cds1081	5	40	72	121	2	35
cds1082	108	341	444	549	87	93
cds1083	50	486	451	810	68	135
cds1084	15	99	137	168	22	33
cds1085	11	43	32	52	2	7
cds1086	14	34	47	62	3	7
cds1087	176	892	874	1406	101	300
cds1088	60	379	542	677	76	69
cds1089	62	151	102	224	23	59
cds109	26	35	46	60	10	47
cds1090	13	43	55	52	3	1
cds1091	46	156	177	293	40	7
cds1092	5	59	45	67	1	3
cds1093	34	201	132	277	22	68
cds1094	88	635	491	868	67	111
cds1095	16	89	44	145	9	22
cds1096	43	21	45	70	10	15
cds1097	41	269	243	241	50	64
cds1098	63	7	0	8	69	79
cds1099	231	494	687	707	138	234
cds11	0	2	0	0	6	4
cds110	99	242	295	556	37	122
cds1100	23	69	84	90	21	29
cds1101	100	483	594	728	67	97
cds1102	73	883	1017	1274	8	66
cds1103	6	6	15	27	0	18
cds1104	2	48	28	43	9	14
cds1105	31	233	266	423	26	48
cds1106	24	119	129	180	15	15
cds1107	29	446	515	528	23	35
cds1108	49	705	664	1330	26	94
cds1109	264	1655	1748	2910	99	188
cds111	3	44	61	89	15	15
cds1110	4	94	172	263	9	18
cds1111	57	302	384	513	22	62
cds1112	23	265	328	277	20	9
cds1113	18	227	315	311	4	24
cds1114	116	732	926	1338	74	218
cds1115	99	796	924	1292	76	166
cds1116	76	997	905	1378	45	111
cds1117	0	29	30	51	0	0
cds1118	84	497	566	676	51	108
cds1119	51	465	666	728	61	91
cds112	4	55	90	124	1	0
cds1120	31	339	478	363	1	16
cds1121	85	329	471	469	57	100
cds1122	81	985	1032	1174	71	93
cds1123	28	104	80	129	35	52
cds1124	35	50	104	141	16	31
cds1125	47	740	819	1709	60	96
cds1126	1207	2167	2362	2644	541	1625
cds1127	399	1327	1487	1676	266	491
cds1128	83	450	509	904	58	157
cds1129	33	99	148	188	16	32
cds113	31	401	649	1001	15	65
cds1130	0	0	0	0	0	0
cds1131	28	152	114	172	15	45
cds1132	18	18	16	13	6	5
cds1133	16	5	14	10	23	17
cds1134	209	46	75	79	58	177
cds1135	452	158	145	230	152	558
cds1136	70	43	36	35	50	75
cds1137	49	61	67	84	26	36
cds1138	0	15	6	7	7	0
cds1139	6	6	23	35	12	4
cds114	1	5	10	18	4	8
cds1140	155	5753	6168	5837	210	232
cds1141	4	174	179	147	5	0
cds1142	15	151	72	156	27	20
cds1143	90	97	103	137	49	102
cds1144	39	311	354	585	53	52
cds1145	3	11	18	22	2	5
cds1146	40	159	170	253	30	24
cds1147	2	39	53	63	0	3
cds1148	15	71	107	97	10	10
cds1149	55	239	227	376	72	80
cds115	100	238	216	417	94	87
cds1150	41	175	161	265	26	23
cds1151	33	69	64	71	17	29
cds1152	40	0	2	7	80	94
cds1153	9	62	53	90	7	16
cds1154	50	75	161	95	25	90
cds1155	13	3	6	4	13	11
cds1156	40	63	83	83	12	66
cds1157	18	14	15	18	3	0
cds1158	8	0	0	0	15	3
