	L404_col_1	L404_col_2	L404_vitro_1	L404_vitro_2	L404_vitro_3	L404_col_3
cds0	157	18	84	92	200	40
cds1	214	23	155	110	305	298
cds10	75	4	58	25	122	23
cds100	94	8	2	2	10	30
cds1000	62	2	158	195	334	46
cds1001	17	0	8	8	17	16
cds1002	37	2	14	24	89	5
cds1003	431	30	42	35	110	143
cds1004	110	12	6	15	27	55
cds1005	365	36	91	93	119	205
cds1006	3	0	3	0	13	0
cds1007	34	1	1	1	4	21
cds1008	0	0	0	0	0	0
cds1009	1	2	0	1	0	0
cds101	283	16	143	131	478	155
cds1010	11	1	0	4	0	0
cds1011	24	5	11	14	24	5
cds1012	1	0	3	0	4	0
cds1013	38	10	8	5	24	6
cds1014	0	0	0	2	0	0
cds1015	12	0	0	3	13	9
cds1016	1786	109	129	86	252	1294
cds1017	3077	224	221	173	351	1068
cds1018	63	5	196	206	260	31
cds1019	142	16	116	126	284	70
cds102	1940	221	487	574	953	1078
cds1020	5	0	0	4	7	1
cds1021	5	2	0	3	4	0
cds1022	7	0	4	3	19	7
cds1023	5	0	0	0	1	0
cds1024	41	6	5	6	26	21
cds1025	38	5	26	16	15	71
cds1026	49	7	5	1	14	27
cds1027	39	2	21	15	59	18
cds1028	10	1	4	0	2	13
cds1029	113	4	5	6	23	35
cds103	124	5	43	42	141	61
cds1030	220	22	89	81	244	280
cds1031	3	1	0	0	4	0
cds1032	9	0	4	2	34	7
cds1033	0	1	0	0	7	0
cds1034	1	0	0	3	2	21
cds1035	4	3	0	1	0	0
cds1036	9	0	2	4	0	4
cds1037	4	2	0	1	0	0
cds1038	0	0	0	0	0	0
cds1039	0	0	1	0	3	0
cds104	169	20	46	36	87	114
cds1040	0	0	0	0	0	0
cds1041	0	0	3	0	10	4
cds1042	3	0	5	2	10	0
cds1043	30	1	25	21	66	18
cds1044	45	7	14	10	44	29
cds1045	3	0	3	3	3	0
cds1046	17	1	26	10	57	5
cds1047	142	23	28	32	38	129
cds1048	206	14	16	12	36	171
cds1049	57	3	6	11	25	51
cds105	23	0	11	2	40	0
cds1050	305	24	18	13	38	245
cds1051	40	6	7	9	18	40
cds1052	361	29	60	42	76	246
cds1053	356	30	105	76	203	178
cds1054	1	1	2	0	0	0
cds1055	19	4	27	20	50	6
cds1056	15	2	7	7	12	0
cds1057	368	26	89	104	263	225
cds1058	126	8	53	44	94	27
cds1059	133	17	83	76	178	75
cds106	5	3	4	9	28	20
cds1060	37	0	14	5	29	25
cds1061	6	0	0	1	5	0
cds1062	2	2	0	7	0	0
cds1063	10	2	0	1	1	2
cds1064	10	0	0	2	6	0
cds1065	3	2	0	4	2	0
cds1066	0	0	0	0	0	0
