	L130_vitro_1	L130_vitro_2	L130_col_1	L130_col_2	L130_vitro_3	L130_col_3
cds0	88798	78425	6318	6887	93595	14642
cds1	5	1	51	23	10	32
cds10	99	71	79	95	139	172
cds100	0	0	13	12	3	0
cds1000	7	9	85	82	5	28
cds1001	0	7	28	66	8	12
cds1002	14	6	75	76	4	26
cds1003	2	2	34	32	1	1
cds1004	3	11	56	26	3	42
cds1005	8	4	44	47	0	29
cds1006	0	0	29	17	0	0
cds1007	5	0	80	21	3	32
cds1008	0	3	56	53	1	32
cds1009	0	0	3	31	13	0
cds101	16	1	60	14	2	7
cds1010	0	0	25	24	1	0
cds1011	9	1	70	25	0	7
cds1012	0	0	16	8	2	0
cds1013	0	0	64	20	0	0
cds1014	0	0	25	20	0	0
cds1015	0	0	40	24	0	0
cds1016	0	5	65	35	0	6
cds1017	5	0	84	114	0	6
cds1018	5	0	172	83	0	14
cds1019	0	0	12	22	0	0
cds102	9	0	49	4	6	3
cds1020	9	7	75	100	2	37
cds1021	0	0	105	0	0	0
cds1022	7	0	94	90	2	6
cds1023	0	0	41	5	0	3
cds1024	25	20	25	11	16	115
cds1025	71	30	106	25	39	74
cds1026	6	5	0	0	4	0
cds1027	4	4	99	45	11	43
cds1028	1	4	36	0	0	0
cds1029	5	0	22	17	3	2
cds103	4	3	48	0	8	17
cds1030	28	14	21	42	28	18
cds1031	8	11	49	53	5	15
cds1032	1	7	30	16	4	38
cds1033	25	23	79	49	10	265
cds1034	1	4	19	22	7	12
cds1035	170	111	214	100	118	109
cds1036	21	11	37	25	5	8
cds1037	11	0	47	24	2	39
cds1038	18	6	34	41	7	28
cds1039	7	8	22	11	8	31
cds104	57	43	76	78	41	37
cds1040	482	532	103	56	707	102
cds1041	0	0	13	0	2	0
cds1042	2	0	3	0	0	7
cds1043	3	2	11	0	10	0
cds1044	21	6	29	0	29	3
cds1045	18	13	6	18	24	1
cds1046	93	83	143	108	92	225
cds1047	1	0	0	0	0	8
cds1048	0	0	9	0	0	0
cds1049	21	16	78	30	11	6
cds105	77	34	62	22	15	120
cds1050	0	0	16	0	1	0
cds1051	3	6	19	13	0	0
cds1052	1	16	66	29	17	7
cds1053	0	0	24	0	1	0
cds1054	0	0	114	6	1	0
cds1055	0	0	33	0	0	6
cds1056	36	8	33	22	8	27
cds1057	26	8	55	20	4	24
cds1058	0	0	4	0	0	8
