	L1_col_3	L1_vitro_1	L1_vitro_2	L1_col_1	L1_col_2	L1_vitro_3
cds1715	28	264	242	93	42	392
cds1716	0	48	32	0	0	85
cds1717	0	8	12	7	6	1
cds1718	0	2	3	4	0	2
cds1719	0	4	0	0	0	0
cds172	0	1	6	0	0	5
cds1720	0	1	3	0	0	2
cds1721	17	36	42	13	13	64
cds1722	13	182	201	46	63	282
cds1723	12	14	19	0	10	36
cds1724	0	12	11	10	3	10
cds1725	0	49	27	0	0	40
cds1726	5	13	18	0	0	22
cds1727	0	2	8	0	0	9
cds1728	8	7	21	3	0	18
cds1729	0	18	29	2	9	26
cds173	15	8	3	31	4	5
cds1730	3	52	74	19	5	67
cds1731	0	18	24	0	0	42
cds1732	7	76	86	27	22	138
cds1733	4	100	132	26	7	178
cds1734	6	84	100	3	0	94
cds1735	4	52	41	0	7	77
cds1736	39	173	147	72	5	280
cds1737	41	81	91	136	114	139
cds1738	43	150	219	50	35	422
cds1739	4	136	101	598	712	145
cds174	0	7	23	23	5	17
cds1740	0	105	180	3	7	242
cds1741	2	106	115	30	19	121
cds1742	23	276	308	47	43	340
cds1743	6	190	187	64	30	207
cds1744	3	209	270	18	37	458
cds1745	0	10	6	0	0	25
cds1746	12	57	68	33	10	96
cds1747	15	60	42	47	30	68
cds1748	8	151	174	35	4	222
cds1749	0	64	136	23	0	161
cds175	21	11	15	42	12	20
cds1750	0	19	25	0	0	38
cds1751	0	3	8	0	13	15
cds1752	12	5	23	7	15	16
cds1753	4	7	22	12	0	16
cds1754	25	72	112	94	57	163
cds1755	3	358	319	14	20	556
cds1756	14	71	57	13	1	88
cds1757	8	46	34	12	11	56
cds1758	3	10	4	13	0	22
cds1759	4	5	2	8	0	2
cds176	0	17	39	7	0	64
cds1760	13	33	45	0	7	62
cds1761	6	17	10	0	0	18
cds1762	2	109	93	23	0	123
cds1763	57	439	470	114	68	806
cds1764	17	69	100	15	10	212
cds1765	0	24	21	0	11	117
cds1766	7	2	2	77	23	4
cds1767	11	24	31	35	15	37
cds1768	2	12	7	14	5	5
cds1769	9	20	19	24	7	46
cds177	15	2	13	0	0	13
cds1770	0	4	29	0	0	22
cds1771	0	7	8	0	0	9
cds1772	0	12	9	0	0	10
cds1773	30	22	32	71	58	53
cds1774	9	7	8	16	7	13
cds1775	3	198	241	13	0	406
cds1776	21	413	419	10	15	800
cds1777	0	7	4	0	0	23
cds1778	0	1	4	0	0	0
cds1779	0	11	16	0	0	21
cds178	0	2	4	9	0	13
cds1780	2	10	4	0	15	11
cds1781	0	4	1	0	0	6
cds1782	8	32	16	10	7	35
cds1783	12	13	6	0	0	16
cds1784	39	233	211	34	49	441
cds1785	63	584	506	88	107	859
cds1786	38	906	935	67	39	1437
cds1787	50	1222	1249	133	95	1741
cds1788	71	1189	820	72	52	893
cds1789	5	72	58	0	0	113
cds179	0	15	44	3	0	54
cds1790	26	286	256	35	12	318
cds1791	0	47	81	4	0	78
cds1792	41	533	518	45	66	760
cds1793	0	93	86	6	0	148
cds1794	0	9	6	0	5	20
cds1795	0	203	188	30	9	339
cds1796	36	300	276	43	33	445
cds1797	18	83	59	24	11	154
cds1798	0	0	6	12	7	7
cds1799	12	72	80	0	29	135
cds18	0	8	3	0	0	3
cds180	13	441	456	15	58	640
cds1800	7	26	20	0	6	13
cds1801	0	45	29	34	17	25
cds1802	18	119	131	34	29	207
cds1803	13	171	239	21	26	335
cds1804	9	24	23	0	8	51
cds1805	20	58	78	30	38	80
cds1806	9	213	160	6	11	403
cds1807	29	444	392	36	37	615
cds1808	13	165	145	24	17	180
cds1809	3	25	18	0	0	17
cds181	0	33	54	12	9	47
cds1810	0	7	7	0	21	4
cds1811	0	8	6	0	0	0
cds1812	0	8	4	0	0	11
cds1813	3	85	56	14	9	127
cds1814	5	21	20	35	11	26
cds1815	37	93	70	83	74	97
cds1816	3	12	15	15	0	7
cds1817	1	12	8	0	0	13
cds1818	5	20	3	8	31	13
cds1819	0	9	0	0	0	2
cds182	21	409	597	48	17	1032
cds1820	0	0	0	0	0	1
cds1821	19	17	7	0	29	5
cds1822	12	898	1032	83	25	1536
cds1823	0	34	42	15	9	70
cds1824	0	0	4	0	0	1
cds1825	6	416	488	32	0	672
cds1826	2	23	23	0	5	30
cds1827	0	5	0	0	0	3
cds1828	0	1	1	0	0	2
cds1829	0	0	3	0	0	1
cds183	12	573	762	40	20	1191
cds1830	0	5	0	0	0	3
cds1831	0	2	1	0	0	0
cds1832	0	4	12	0	0	1
cds1833	0	66	72	0	0	78
cds1834	5	36	30	9	3	27
cds1835	0	18	13	0	0	19
cds1836	162	12	12	208	102	10
cds1837	0	2	7	25	0	7
cds1838	0	7	4	0	20	4
cds1839	41	49	41	73	35	76
cds184	5	61	69	0	22	107
cds1840	7	8	10	10	0	47
cds1841	7	16	27	0	0	33
cds1842	2	33	66	0	7	47
cds1843	64	138	183	62	59	216
cds1844	0	5	5	0	0	4
cds1845	0	0	4	0	0	5
cds1846	0	3	4	0	0	1
cds1847	0	0	4	0	0	2
cds1848	14	3	9	0	10	3
cds1849	5	10	9	0	0	9
cds185	0	86	58	0	0	127
cds1850	9	14	6	6	31	2
cds1851	0	1	3	0	0	3
cds1852	0	1	2	0	0	2
cds1853	0	2	0	0	0	4
cds1854	0	4	6	0	0	5
cds1855	0	13	6	0	0	10
cds1856	0	22	49	0	0	67
cds1857	6	82	79	7	9	89
cds1858	0	62	54	0	0	100
cds1859	69	2041	2256	181	141	2942
cds186	0	32	22	0	14	44
cds1860	2	114	144	4	0	185
cds1861	2	104	111	53	34	174
cds1862	10	58	38	26	20	56
cds1863	4	44	56	10	32	97
cds1864	0	1	7	0	8	15
cds1865	0	100	92	5	7	124
cds1866	32	278	279	4	45	405
cds1867	6	54	68	25	18	52
cds1868	30	781	780	48	45	1352
cds1869	0	2	0	0	0	3
cds187	44	221	161	70	65	305
cds1870	5	118	110	14	9	172
cds1871	10	6	18	23	19	4
cds1872	17	18	5	69	5	5
cds1873	36	4	12	12	30	0
cds1874	9	1	3	31	44	9
cds1875	0	4	2	14	12	5
cds1876	0	11	15	13	0	42
cds1877	0	20	9	0	0	20
cds1878	14	20	36	27	13	50
cds1879	29	216	325	49	38	399
cds188	0	31	33	7	1	43
cds1880	5	75	57	1	22	71
cds1881	27	389	311	50	13	405
cds1882	22	123	106	20	0	198
cds1883	15	81	94	31	40	134
cds1884	59	186	161	90	75	210
cds1885	41	901	309	110	93	320
cds1886	0	104	33	7	0	43
cds1887	14	138	191	67	6	190
cds1888	1	46	105	3	5	120
cds1889	3	16	26	0	6	27
cds189	2247	383	380	2304	1374	561
cds1890	26	48	50	36	55	104
cds1891	0	20	20	23	9	16
cds1892	2	9	17	0	8	7
cds1893	27	139	150	26	16	195
cds1894	0	35	32	6	20	51
cds1895	37	133	166	100	103	220
cds1896	15	53	44	66	16	96
cds1897	4	61	73	18	12	109
cds1898	6	71	71	19	14	100
cds1899	3	132	155	21	0	271
cds19	0	27	20	16	9	17
cds190	2	7	9	6	0	8
cds1900	30	558	602	64	53	927
cds1901	8	16	20	0	0	24
cds1902	0	25	17	0	10	27
cds1903	0	0	0	0	0	0
cds1904	0	66	104	9	13	133
cds1905	29	121	169	33	48	193
cds1906	0	11	4	8	5	13
cds1907	0	0	15	0	0	17
cds1908	2	38	44	6	8	56
cds1909	97	2256	1028	188	163	950
cds191	0	66	61	16	16	119
cds1910	19	114	143	55	39	216
cds1911	28	272	381	41	54	489
cds1912	0	18	23	0	8	45
cds1913	0	38	27	20	0	44
cds1914	0	34	39	0	4	40
cds1915	0	3	2	0	0	9
cds1916	0	0	0	0	0	0
cds1917	0	228	257	3	22	350
cds1918	0	24	21	0	0	29
cds1919	2	68	83	6	1	150
cds192	5	47	34	0	0	46
cds1920	1	47	54	13	24	71
cds1921	17	48	55	24	13	91
cds1922	8	89	72	15	10	183
cds1923	1	38	27	1	0	23
cds1924	0	22	15	0	9	17
cds1925	18	100	83	53	38	147
cds1926	2	8	7	0	0	21
cds1927	0	8	13	6	32	48
cds1928	0	92	94	0	28	102
cds1929	0	30	9	0	0	12
cds193	0	4	7	10	6	11
cds1930	35	148	117	11	30	243
cds1931	37	479	398	72	78	646
cds1932	36	147	121	50	45	195
cds1933	2089	13154	7013	1710	1921	6271
cds1934	82	262	178	115	117	174
cds1935	20	62	75	23	10	127
cds1936	13	87	94	11	1	93
cds1937	0	71	80	5	2	96
cds1938	0	1	1	0	0	3
cds1939	0	12	14	0	0	16
cds194	6	9	8	28	46	12
cds1940	0	12	8	1	0	10
cds1941	0	11	11	0	16	6
cds1942	11	29	32	20	3	32
cds1943	3	11	15	10	0	8
cds1944	0	15	9	9	11	5
cds1945	0	20	6	7	0	38
cds1946	0	35	8	18	9	27
cds1947	0	24	24	0	0	23
cds1948	6	15	33	7	20	36
cds1949	0	8	11	2	0	19
cds195	23	108	89	26	13	107
cds1950	0	1	9	11	0	19
cds1951	3	60	70	40	17	108
cds1952	0	60	44	14	30	96
cds1953	20	34	24	54	21	43
cds1954	5	33	30	19	7	46
cds1955	5	26	22	0	0	23
cds1956	0	17	9	3	0	15
cds1957	7	228	218	58	43	260
cds1958	11	64	98	11	12	108
cds1959	10	86	102	27	29	127
cds196	0	1	8	0	0	7
cds1960	13	172	219	39	46	313
cds1961	1	6	6	32	21	18
cds1962	0	7	10	0	0	1
cds1963	0	27	36	0	0	48
cds1964	11	37	27	0	0	48
cds1965	26	293	462	93	57	901
cds1966	8	24	13	14	0	29
cds1967	34	38	37	22	6	31
cds1968	1	2	7	16	28	15
cds1969	41	1	7	69	32	47
cds197	27	145	92	64	37	177
cds1970	11	21	17	14	5	44
cds1971	95	82	79	102	77	103
cds1972	0	5	3	0	0	14
cds1973	0	17	28	7	0	28
cds1974	2	21	17	10	13	21
cds1975	0	10	14	0	5	17
cds1976	0	37	16	5	0	36
cds1977	9	42	36	25	0	56
cds1978	0	11	12	0	0	14
cds1979	0	10	13	12	0	24
cds198	104	284	338	165	81	485
cds1980	0	18	22	27	0	35
cds1981	11	447	190	44	15	119
cds1982	0	41	40	8	0	42
cds1983	12	103	61	37	11	119
cds1984	0	3	8	19	13	13
cds1985	1	71	45	17	17	143
cds1986	0	16	11	6	0	29
cds1987	0	22	15	0	0	22
cds1988	13	14	12	9	0	21
cds1989	27	46	17	24	37	58
cds199	98	370	524	260	159	846
cds1990	3	12	8	13	10	14
cds1991	36	178	86	144	118	170
cds1992	9	70	51	5	0	56
cds1993	10	128	70	30	21	110
cds1994	9	104	55	5	28	92
cds1995	0	5	16	2	3	27
cds1996	0	29	15	6	0	19
cds1997	0	7	1	14	0	6
cds1998	0	20	17	13	0	19
cds1999	7	47	38	0	6	80
cds2	0	6	21	0	5	20
cds20	0	1	2	0	0	0
cds200	35	89	91	72	87	178
cds2000	10	80	114	14	13	167
cds2001	0	11	8	0	0	13
cds2002	10	4	1	0	0	7
cds2003	0	24	9	0	0	32
cds2004	27	82	110	13	17	122
cds2005	12	10	11	0	0	3
cds2006	0	71	66	5	7	105
cds2007	0	1	1	0	0	2
cds2008	3	6	3	0	2	20
cds2009	8	14	14	5	0	27
cds201	0	25	26	34	11	23
cds2010	18	175	102	1	29	62
cds2011	43	52	81	108	124	128
cds2012	3	1	3	13	0	9
cds2013	49	108	120	64	7	115
cds2014	0	8	2	6	5	15
cds2015	2	5	16	21	29	19
cds2016	0	27	31	0	27	21
cds2017	8	0	1	15	0	4
cds2018	0	11	4	28	6	9
cds2019	58	22	38	102	64	41
cds202	11	207	93	0	35	133
cds2020	78	109	106	150	58	117
cds2021	12	21	18	6	5	26
cds2022	0	50	39	0	26	35
cds2023	0	36	14	8	12	32
cds2024	0	4	7	0	0	1
cds2025	0	5	5	0	0	1
cds2026	0	4	3	0	0	4
cds2027	5	6	5	0	0	5
cds2028	7	6	9	5	6	12
cds2029	3	42	80	8	0	79
cds203	0	15	11	0	0	17
cds2030	9	24	21	17	0	41
cds2031	5	40	44	13	16	42
cds2032	0	19	12	0	0	24
cds2033	2	30	32	0	0	47
cds2034	28	187	282	18	6	365
cds2035	0	23	16	0	24	43
cds2036	6	7	7	0	0	16
cds2037	0	2	5	0	0	16
cds2038	9	2	9	0	0	4
cds2039	0	7	12	20	6	29
cds204	12	400	449	6	0	773
cds2040	6	19	23	24	24	25
cds2041	0	3	4	0	0	16
cds2042	11	4	4	28	7	9
cds2043	0	1	1	0	0	6
cds2044	9	26	31	12	20	91
cds2045	3	1	1	0	22	2
cds2046	16	154	120	21	18	214
cds2047	41	30	19	71	20	23
cds2048	0	179	224	0	0	309
cds2049	4	33	43	35	27	65
cds205	0	1667	1743	35	26	2533
cds2050	5	10	23	11	0	14
cds2051	9	130	98	67	18	105
cds2052	0	28	51	13	0	36
cds2053	0	13	8	16	1	4
cds2054	0	30	40	0	6	39
cds2055	0	44	39	8	0	52
cds2056	0	70	55	0	13	93
cds2057	0	20	24	7	0	56
cds2058	0	30	32	16	11	41
cds2059	10	43	58	0	0	72
cds206	0	50	35	31	37	50
cds2060	0	87	120	1	0	156
cds2061	0	44	70	0	1	79
cds2062	8	198	322	2	6	254
cds2063	1	29	23	17	11	16
cds2064	0	9	4	0	0	4
cds2065	0	9	5	0	3	22
cds2066	3	9	4	0	0	7
cds2067	0	13	7	0	0	9
cds2068	7	27	11	0	0	15
cds2069	0	4	4	0	4	10
cds207	0	28	41	0	0	71
cds2070	0	29	17	23	0	32
cds2071	6	11	9	16	0	16
cds2072	13	11	35	3	2	37
cds2073	0	30	50	0	0	56
cds2074	9	51	71	11	25	59
cds2075	10	151	155	8	3	186
cds2076	0	80	66	0	12	75
cds2077	0	35	35	8	0	58
cds2078	2	9	5	2	0	7
cds2079	7	134	147	11	14	232
cds208	3	42	48	19	7	59
cds2080	0	10	12	0	0	15
cds2081	0	7	7	0	0	4
cds2082	0	4	4	0	0	5
cds2083	0	39	29	0	8	33
cds2084	0	0	0	0	5	0
cds2085	0	3	7	15	9	1
cds2086	0	3	4	0	15	9
cds2087	11	66	72	19	5	133
cds2088	0	6	2	9	0	12
cds2089	128	65	67	234	158	85
cds209	1	7	9	15	11	20
cds2090	0	19	20	0	0	27
cds2091	21	20	36	0	26	62
cds2092	0	9	13	2	10	12
cds2093	5	81	132	0	1	195
cds2094	37	84	111	63	54	118
cds2095	24	97	108	13	12	199
cds2096	0	0	5	0	0	0
cds2097	0	1	1	0	0	0
cds2098	2	71	60	8	0	76
cds2099	3	3	10	9	3	11
cds21	0	1	1	0	0	7
cds210	12	6	6	15	31	21
cds2100	0	6	2	7	14	8
cds2101	0	0	11	0	0	2
cds2102	6	32	48	0	10	78
cds2103	6	20	27	0	2	50
cds2104	2	4	4	2	0	2
cds2105	1	68	87	26	8	119
cds2106	0	25	13	1	0	21
cds2107	0	7	3	3	0	3
cds2108	0	12	24	0	0	38
cds2109	0	0	4	0	0	7
cds211	3	10	6	24	8	7
cds2110	5	4	1	4	4	2
cds2111	0	19	12	12	0	38
cds2112	7	10	18	13	0	26
cds2113	0	3	2	0	9	7
cds2114	0	21	15	0	0	11
cds2115	12	28	30	5	13	36
cds2116	0	4	4	0	13	1
cds2117	0	3	15	0	0	12
cds2118	5	22	23	0	0	31
cds2119	0	4	0	5	0	11
cds212	0	1	5	0	0	1
cds2120	0	0	0	0	0	0
cds2121	0	26	17	12	6	14
cds2122	3	21	12	0	0	32
cds2123	7	50	64	28	7	86
cds2124	14	85	77	27	36	94
cds2125	0	7	24	0	10	29
cds2126	0	7	12	1	0	23
cds2127	0	1	2	0	7	4
cds2128	2	29	15	0	0	47
cds2129	45	23	23	31	44	45
cds213	7	338	192	13	25	121
cds2130	0	4	9	0	0	8
cds2131	6	31	10	0	15	23
cds2132	0	94	159	16	0	160
cds2133	0	24	30	0	7	29
cds2134	0	42	28	1	29	37
cds2135	7	44	54	4	44	55
cds2136	0	91	67	9	23	131
cds2137	0	18	28	0	0	31
cds2138	9	66	69	13	16	104
cds2139	0	17	6	0	0	13
cds214	3	50	47	42	11	88
cds2140	0	10	12	0	0	24
cds2141	0	18	30	19	0	38
cds2142	3	24	49	0	3	38
cds2143	2	131	147	43	8	206
cds2144	30	366	303	108	93	608
cds2145	0	19	5	10	0	18
cds2146	0	19	18	0	0	19
cds2147	8	13	20	7	22	22
cds2148	0	68	85	18	14	149
cds2149	0	91	110	15	8	200
cds215	43	74	90	100	28	88
cds2150	38	63	27	75	20	30
cds2151	5	13	11	32	6	5
cds2152	4	19	19	6	4	8
cds2153	17	31	28	56	13	38
cds2154	0	13	10	0	0	9
cds2155	20	55	48	54	21	42
cds2156	50	66	64	111	77	85
cds2157	0	10	12	0	0	27
cds2158	0	5	7	10	14	23
cds2159	6	199	158	37	25	334
cds216	15	18	30	9	0	23
cds2160	0	20	14	31	18	39
cds2161	0	21	10	12	0	16
cds2162	0	3	12	0	0	8
cds2163	8	26	17	9	11	46
cds2164	0	16	8	12	2	15
cds2165	10	25	15	0	6	28
cds2166	9	82	77	9	11	125
cds2167	2	0	1	7	0	0
cds2168	7	35	69	80	47	74
cds2169	9	11	13	7	28	16
cds217	0	21	18	11	17	31
cds2170	28	359	334	52	39	544
cds2171	3	236	228	34	25	370
cds2172	0	25	30	0	14	44
cds2173	10	68	61	0	24	97
cds2174	0	9	12	0	0	21
cds2175	0	26	37	0	7	47
cds2176	1	42	69	12	10	131
cds2177	0	11	15	9	0	6
cds2178	0	65	53	7	0	81
cds2179	0	15	16	9	0	18
cds218	2	19	39	14	3	53
cds2180	10	10	23	0	0	9
cds2181	17	186	179	4	5	290
cds2182	0	46	31	13	0	48
cds2183	4	29	33	0	2	40
cds2184	0	10	24	0	10	55
cds2185	0	89	210	0	0	175
cds2186	5	40	60	46	13	68
cds2187	0	7	12	0	5	11
cds2188	0	22	19	0	0	32
cds2189	2	55	42	11	27	50
cds219	1	39	35	0	25	49
cds2190	0	0	11	9	0	4
cds2191	0	5	8	0	0	4
cds2192	0	4	6	0	0	4
cds2193	0	29	24	0	0	35
cds2194	0	0	6	0	0	3
cds2195	8	133	138	4	13	191
cds2196	5	9	19	8	0	11
cds2197	0	0	0	0	0	0
cds2198	0	1	8	0	0	5
cds2199	0	2	0	0	4	2
cds22	0	0	1	0	0	0
cds220	10	65	76	39	31	106
cds2200	13	11	36	6	0	46
cds2201	4	20	38	10	0	16
cds2202	6	45	54	0	4	79
cds2203	0	20	20	8	9	43
cds2204	16	6	7	16	0	1
cds2205	0	6	21	0	0	1
cds2206	0	27	25	12	13	43
cds2207	0	19	9	0	0	23
cds2208	1	13	17	1	3	24
cds2209	15	108	121	19	23	113
cds221	32	300	276	86	22	318
cds2210	0	93	65	18	8	80
cds2211	40	232	241	75	81	365
cds2212	3	2	8	0	0	10
cds2213	0	0	1	0	0	1
cds2214	9	27	19	13	16	19
cds2215	0	15	30	0	10	43
cds2216	4	0	6	22	18	14
cds2217	1	8	5	0	0	0
cds2218	10	7	10	18	14	4
cds2219	0	9	21	4	1	31
cds222	5	66	85	8	3	168
cds2220	3	4	21	11	0	8
cds2221	0	17	23	16	0	41
cds2222	13	47	47	14	18	74
cds2223	42	36	42	106	76	46
cds2224	5	4	11	27	2	12
cds2225	13	5	9	8	2	11
cds2226	14	58	34	15	17	75
cds2227	4	9	12	1	3	8
cds2228	0	10	7	0	0	15
cds2229	0	185	142	8	0	287
cds223	0	9	26	0	0	16
cds2230	12	14	4	18	11	9
cds2231	0	37	28	0	0	36
cds2232	16	36	32	14	4	44
cds2233	4	11	13	10	3	16
cds2234	15	225	156	22	23	186
cds2235	73	326	253	80	98	458
cds2236	223	1602	1964	625	309	2247
cds2237	83	449	418	213	77	643
cds2238	294	1645	1828	492	402	2569
cds2239	22	251	289	30	46	412
cds224	0	14	10	7	4	30
cds2240	13	65	53	11	0	58
cds2241	11	93	102	8	0	160
cds2242	2	113	105	0	0	113
cds2243	7	86	83	22	2	136
cds2244	0	19	33	10	0	55
cds2245	0	3	3	9	6	5
cds2246	0	31	39	33	1	54
cds2247	46	35	35	37	8	60
cds2248	63	64	91	97	25	146
cds2249	22	9	20	32	25	29
cds225	7	12	2	29	36	19
cds2250	0	20	17	8	0	45
cds2251	11	101	97	36	62	158
cds2252	26	168	208	20	17	276
cds2253	6	48	59	0	0	87
cds2254	0	14	9	13	0	11
cds2255	7	11	16	3	16	12
cds2256	0	21	11	0	0	29
cds2257	5	13	13	0	0	10
cds2258	0	22	19	0	0	39
cds2259	7	28	10	10	5	27
cds226	0	27	29	17	0	33
cds2260	47	157	157	54	36	206
cds2261	2	14	6	0	9	15
cds2262	0	5	4	16	6	11
cds2263	9	15	21	6	16	18
cds2264	0	53	56	0	13	59
cds2265	6	8	12	0	0	17
cds2266	0	23	13	0	5	24
cds2267	0	19	13	6	0	14
cds2268	4	9	6	13	3	8
cds2269	0	2	0	0	0	1
cds227	11	1362	1242	29	31	2262
cds2270	0	4	4	0	0	15
cds2271	6	36	35	5	8	43
cds2272	0	24	16	7	0	23
cds2273	3	15	26	0	14	49
cds2274	55	31	25	7	7	17
cds2275	0	7	11	0	1	9
cds2276	4	72	57	0	0	70
cds2277	0	5	5	8	0	13
cds2278	2	24	16	9	0	34
cds2279	0	27	21	8	0	37
cds228	95	7648	7472	167	140	11077
cds2280	0	4	2	6	0	2
cds2281	34	10	15	24	9	12
cds2282	0	8	7	0	0	0
cds2283	2	27	14	0	12	14
cds2284	0	12	46	0	17	66
cds2285	4	6	5	14	5	4
cds2286	16	0	5	10	21	3
cds2287	0	37	39	20	1	68
cds2288	2	11	23	5	0	44
cds2289	0	24	13	0	7	25
cds229	47	2669	2572	92	93	3495
cds2290	13	61	48	0	0	53
cds2291	0	14	19	0	0	42
cds2292	2	16	38	29	26	26
cds2293	0	18	21	16	0	19
cds2294	3	165	212	13	25	303
cds2295	27	266	315	53	32	458
cds2296	13	348	412	67	25	918
cds2297	0	3	7	0	0	16
cds2298	0	15	13	0	0	16
cds2299	0	18	18	2	0	20
cds23	5	1	0	0	0	1
cds230	13	559	496	44	24	957
cds2300	23	59	68	0	0	100
cds2301	2	76	81	0	4	128
cds2302	15	67	83	26	10	115
cds2303	4	7	5	0	0	2
cds2304	0	1	2	0	0	17
cds2305	0	6	6	0	0	11
cds2306	0	5	5	0	0	0
cds2307	0	9	15	0	0	8
cds2308	0	22	22	0	12	26
cds2309	19	23	8	23	8	18
cds231	0	3	15	0	0	14
cds2310	1	68	40	7	2	49
cds2311	0	88	85	0	10	103
cds2312	0	10	13	0	0	14
cds2313	2	6	20	3	7	26
cds2314	0	27	58	4	16	48
cds2315	0	24	46	0	0	60
cds2316	7	5	8	0	4	10
cds2317	9	200	240	28	33	302
cds2318	0	8	19	44	4	37
cds2319	4	35	29	11	0	59
cds232	4	19	4	0	0	17
cds2320	10	31	43	17	12	76
cds2321	24	31	48	32	67	36
cds2322	11	15	19	12	20	22
cds2323	2	6	7	0	3	14
cds2324	7	8	12	0	3	23
cds2325	20	22	11	26	30	19
cds2326	5	44	47	0	7	64
cds2327	0	7	3	0	0	8
cds2328	4	18	3	0	3	16
cds2329	0	16	28	0	0	36
cds233	9	53	68	57	4	66
cds2330	0	9	5	0	9	4
cds2331	0	12	4	0	0	17
cds2332	0	23	32	0	0	38
cds2333	2	10	13	0	1	19
cds2334	0	29	21	0	0	27
cds2335	0	2	9	11	0	7
cds2336	0	22	2	0	0	12
cds2337	0	24	25	0	0	32
cds2338	5	26	47	8	20	76
cds2339	0	0	1	0	0	1
cds234	7	31	33	6	7	45
cds2340	0	27	7	0	13	34
cds2341	5	80	75	0	16	123
cds2342	6	72	97	6	47	131
cds2343	0	17	20	0	0	26
cds2344	6	67	96	5	17	77
cds2345	0	22	22	6	26	35
cds2346	7	143	86	7	11	140
cds2347	4	27	26	10	9	42
cds2348	0	21	16	0	0	32
cds2349	0	10	9	8	3	19
cds235	48	193	230	72	24	255
cds2350	0	31	28	13	0	48
cds2351	8	29	8	19	0	22
cds2352	15	278	269	85	51	459
cds2353	38	158	185	33	51	321
cds2354	0	55	21	6	0	37
cds2355	0	17	5	0	15	31
cds2356	17	36	46	33	0	50
cds2357	6	17	16	7	7	31
cds2358	0	11	16	0	0	21
cds2359	4	21	29	6	0	42
cds236	5	7	5	20	21	6
cds2360	0	5	26	0	4	15
cds2361	0	2	6	0	0	9
cds2362	0	7	3	0	0	10
cds2363	0	11	8	0	15	11
cds2364	6	9	14	2	0	17
cds2365	14	123	144	8	14	256
cds2366	6	10	7	0	0	21
cds2367	2	52	35	13	0	61
cds2368	5	14	19	0	4	35
cds2369	92	10	9	93	135	24
cds237	0	5	5	30	0	3
cds2370	15	3	6	5	6	11
cds2371	8	5	11	25	29	11
cds2372	8	2	3	13	9	1
cds2373	21	12	7	20	0	11
cds2374	24	11	8	23	0	15
cds2375	0	8	22	13	10	9
cds2376	0	0	3	0	0	6
cds2377	11	85	86	30	22	75
cds2378	30	63	62	31	61	41
cds2379	137	1658	1790	183	292	2512
cds238	0	12	13	27	0	6
cds2380	45	77	88	39	60	139
cds2381	0	4	5	7	0	21
cds2382	12	4	7	33	13	20
cds2383	34	4	6	54	25	2
cds2384	0	0	8	0	0	4
cds2385	3	3	5	0	0	7
cds2386	12	0	1	8	19	5
cds2387	0	5	7	8	0	5
cds2388	4	14	13	0	4	12
cds2389	6	358	371	23	40	518
cds239	26	42	131	93	65	154
cds2390	0	62	70	2	0	122
cds2391	0	12	11	5	0	45
cds2392	6	7	3	29	8	4
cds2393	5	13	3	9	3	2
cds2394	9	0	0	0	0	0
cds2395	0	7	1	8	0	1
cds2396	0	1	3	0	0	2
cds2397	40	798	914	72	36	1564
cds2398	0	1	0	8	0	8
cds2399	0	5	4	13	0	7
cds24	0	0	0	0	0	2
cds240	33	266	331	44	23	510
cds2400	104	276	286	229	108	423
cds2401	0	37	27	6	43	63
cds2402	9	36	39	11	24	57
cds2403	25	88	89	57	62	141
cds2404	0	6	15	27	16	2
cds2405	0	3	0	0	0	6
cds2406	5	39	67	35	19	49
cds2407	9	18	3	12	0	20
cds2408	15	88	64	33	13	115
cds2409	0	16	24	0	0	12
cds241	22	111	142	15	0	197
cds2410	13	145	129	48	14	248
cds2411	0	37	68	0	9	108
cds2412	0	21	23	0	0	50
cds2413	18	383	350	21	18	640
cds2414	0	93	74	0	0	128
cds2415	0	45	38	0	4	75
cds2416	0	10	19	14	0	32
cds2417	38	194	144	22	20	224
cds2418	21	54	59	7	3	77
cds2419	15	62	68	10	13	64
cds242	0	32	39	0	7	91
cds2420	8	63	45	30	5	110
cds2421	0	9	8	16	0	18
cds2422	0	11	26	15	0	20
cds2423	0	1	6	0	5	0
cds2424	0	9	2	11	3	4
cds2425	14	4	15	9	0	10
cds2426	3	14	6	10	1	3
cds2427	9	6	5	10	13	11
cds2428	10	1	2	11	17	4
cds2429	10	3	1	20	0	3
cds243	3	159	181	27	0	236
cds2430	0	1	4	1	7	3
cds2431	2	4	13	13	0	20
cds2432	7	6	9	0	5	13
cds2433	0	7	8	2	1	1
cds2434	16	209	211	44	10	349
cds2435	0	50	37	16	6	64
cds2436	5	19	29	0	0	42
cds2437	0	30	23	0	5	35
cds2438	2	76	70	15	11	96
cds2439	0	13	16	5	0	28
cds244	13	132	73	0	0	147
cds2440	0	1	4	0	0	9
cds2441	5	10	12	10	5	3
cds2442	25	173	140	8	22	208
cds2443	33	185	190	123	94	172
cds2444	0	5	8	0	0	7
cds2445	5	11	14	8	0	26
cds2446	7	1467	458	0	17	1019
cds2447	0	12	23	0	0	29
cds2448	0	7	5	0	6	11
cds2449	7	97	105	18	0	170
cds245	10	392	407	46	15	604
cds2450	0	15	19	0	0	34
cds2451	0	40	53	6	0	114
cds2452	1	10	11	6	0	39
cds2453	12	23	32	67	19	18
cds2454	0	5	11	12	11	6
