	L1_col_3	L1_vitro_1	L1_vitro_2	L1_col_1	L1_col_2	L1_vitro_3
cds1173	39	358	290	60	30	410
cds1174	63	1015	893	218	126	1561
cds1175	17	293	258	37	13	471
cds1176	0	22	26	7	0	41
cds1177	2	2	0	0	0	0
cds1178	0	0	1	0	0	7
cds1179	0	0	2	0	0	0
cds118	14	91	134	52	26	284
cds1180	0	0	0	0	0	0
cds1181	0	3	1	0	0	12
cds1182	0	0	7	0	9	0
cds1183	0	2	2	0	0	1
cds1184	0	8	8	28	0	23
cds1185	17	22	25	30	19	26
cds1186	26	462	661	19	48	1078
cds1187	2	309	256	50	5	467
cds1188	2	19	28	20	21	40
cds1189	3	118	120	0	25	158
cds119	0	32	37	11	5	55
cds1190	5	84	64	10	7	131
cds1191	5	148	185	0	26	304
cds1192	19	171	192	21	8	290
cds1193	0	56	37	0	0	53
cds1194	19	390	329	61	38	534
cds1195	25	300	261	24	12	487
cds1196	0	16	17	10	0	38
cds1197	278	2025	1603	361	401	2493
cds1198	14	224	230	11	11	368
cds1199	10	101	142	15	8	230
cds12	30	253	262	77	9	389
cds120	0	28	12	0	16	21
cds1200	5	23	19	16	19	18
cds1201	13	111	100	94	16	174
cds1202	12	73	50	9	9	49
cds1203	18	158	141	34	12	236
cds1204	0	49	59	0	7	81
cds1205	0	64	64	23	0	104
cds1206	21	188	144	27	4	295
cds1207	164	51	61	343	199	69
cds1208	72	135	145	170	76	205
cds1209	12	155	228	18	7	248
cds121	27	26	62	31	18	50
cds1210	0	185	196	1	0	216
cds1211	7	143	132	10	0	209
cds1212	0	14	10	0	0	43
cds1213	20	43	114	12	13	194
cds1214	252	1436	1439	406	233	1803
cds1215	1	151	146	27	50	172
cds1216	54	264	284	111	95	396
cds1217	0	85	89	39	1	195
cds1218	9	153	158	17	0	252
cds1219	34	285	355	19	7	570
cds122	16	33	35	24	21	58
cds1220	26	80	72	86	63	151
cds1221	60	100	96	128	96	155
cds1222	0	142	170	26	8	236
cds1223	5	118	97	9	15	245
cds1224	20	173	188	29	51	316
cds1225	102	1667	1770	233	135	2396
cds1226	0	130	153	0	17	242
cds1227	0	7	6	8	0	13
cds1228	57	414	296	33	36	445
cds1229	7	94	82	3	15	111
cds123	0	4	4	7	4	2
cds1230	7	217	233	25	17	318
cds1231	1	47	52	0	2	66
cds1232	0	54	67	10	5	82
cds1233	2	123	74	54	22	138
cds1234	15	123	98	4	0	153
cds1235	6	59	33	0	11	72
cds1236	13	73	102	35	8	161
cds1237	26	208	155	59	30	255
cds1238	59	953	1211	192	132	1655
cds1239	7	91	85	11	3	166
cds124	0	1	7	3	0	4
cds1240	0	101	111	0	7	176
cds1241	4	35	29	33	14	49
cds1242	10	68	71	10	1	113
cds1243	8	271	362	6	0	438
cds1244	72	102	172	105	30	189
cds1245	8	50	40	0	0	81
cds1246	47	2128	2219	108	23	3494
cds1247	703	2629	3579	1000	715	4313
cds1248	78	154	221	102	93	315
cds1249	35	36	31	74	38	52
cds125	6	1	15	10	15	6
cds1250	38	90	125	115	65	145
cds1251	8	35	26	7	5	55
cds1252	58	892	864	75	43	1235
cds1253	11	520	519	26	5	778
cds1254	30	728	673	42	23	1260
cds1255	902	14147	16228	1222	953	20788
cds1256	0	38	34	9	7	35
cds1257	4	630	645	31	11	1225
cds1258	0	59	81	0	0	96
cds1259	3	216	245	0	0	506
cds126	0	2	6	8	0	7
cds1260	14	269	138	76	22	137
cds1261	15	31	41	23	46	51
cds1262	25	19	26	36	0	38
cds1263	5	11	9	3	0	29
cds1264	9	11	15	17	22	14
cds1265	29	11	2	31	30	9
cds1266	0	0	8	23	0	0
cds1267	12	138	128	4	8	176
cds1268	15	4	10	2	13	6
cds1269	7	19	19	10	9	17
cds127	13	21	15	20	0	12
cds1270	3	120	106	6	40	209
cds1271	7	8	13	3	4	31
cds1272	11	27	26	3	0	43
cds1273	0	211	222	12	11	322
cds1274	34	112	154	102	22	216
cds1275	77	36	43	148	123	69
cds1276	25	205	205	31	60	360
cds1277	6	19	8	0	0	53
cds1278	102	1960	2248	116	131	3210
cds1279	7	91	64	25	25	118
cds128	6	37	29	0	25	68
cds1280	21	170	206	51	7	271
cds1281	10	87	132	29	5	199
cds1282	5	215	119	0	0	141
cds1283	0	80	72	0	0	118
cds1284	26	296	235	0	7	420
cds1285	17	412	410	3	35	727
cds1286	1	3	0	10	14	1
cds1287	81	9	12	162	48	24
cds1288	0	53	34	0	12	76
cds1289	40	109	91	4	15	212
cds129	24	171	161	20	13	170
cds1290	8	30	57	18	27	68
cds1291	0	14	28	0	6	51
cds1292	4	99	100	15	13	186
cds1293	7	129	132	7	12	257
cds1294	20	378	386	16	57	640
cds1295	15	106	110	49	25	257
cds1296	100	273	227	151	130	401
cds1297	10	20	16	36	26	37
cds1298	44	951	1002	155	117	1706
cds1299	4	94	69	29	5	154
cds13	66	323	316	59	30	385
cds130	7	30	19	32	34	50
cds1300	7	205	196	9	16	272
cds1301	7	19	4	20	0	8
cds1302	0	10	5	0	0	2
cds1303	25	4	14	6	0	21
cds1304	20	103	116	50	4	187
cds1305	11	39	43	11	12	70
cds1306	0	27	23	10	0	47
cds1307	81	2453	2154	111	100	3450
cds1308	2	56	39	22	17	102
cds1309	5	232	119	16	14	188
cds131	4	17	20	4	8	24
cds1310	1	99	84	30	5	165
cds1311	116	2095	2532	225	116	3765
cds1312	4	78	54	8	5	118
cds1313	31	321	235	53	36	422
cds1314	3	11	7	20	0	15
cds1315	15	33	41	40	9	63
cds1316	1	9	10	0	10	19
cds1317	36	233	288	58	55	368
cds1318	42	119	177	52	58	236
cds1319	2	20	16	13	11	39
cds132	0	22	14	0	0	53
cds1320	18	40	31	14	10	64
cds1321	162	10220	10530	319	197	13098
cds1322	0	47	44	14	0	57
cds1323	63	739	800	128	91	1331
cds1324	44	410	323	31	24	496
cds1325	41	434	429	64	31	725
cds1326	6	50	38	12	8	45
cds1327	0	26	58	0	0	70
cds1328	0	152	257	20	4	360
cds1329	78	1094	1726	111	49	2014
cds133	13	315	342	17	24	589
cds1330	26	435	445	27	3	752
cds1331	0	27	29	0	3	71
cds1332	0	66	78	4	4	114
cds1333	0	13	14	4	0	25
cds1334	25	499	622	63	53	915
cds1335	0	182	197	0	12	340
cds1336	22	263	302	2	24	427
cds1337	3	66	81	2	4	144
cds1338	45	580	599	57	17	966
cds1339	13	123	152	35	24	218
cds134	30	296	287	42	38	450
cds1340	15	74	82	4	23	128
cds1341	14	152	172	64	16	289
cds1342	21	123	137	8	23	276
cds1343	18	290	349	19	13	631
cds1344	80	759	849	97	79	1442
cds1345	10	59	131	9	11	176
cds1346	7	156	149	6	32	244
cds1347	0	29	23	11	0	44
cds1348	11	3	2	19	17	12
cds1349	32	219	256	54	61	344
cds135	4	47	77	21	9	172
