	R935_vitro_1	R935_vitro_2	R935_col_1	R935_col_2	R935_vitro_3	R935_col_3
cds1174	570	423	904	219	979	749
cds1175	348	317	266	32	520	369
cds1176	54	70	79	16	143	107
cds1177	8	14	18	11	27	38
cds1178	41	62	0	19	90	77
cds1179	2	0	22	3	9	30
cds118	22	36	19	96	73	142
cds1180	2	1	44	81	0	242
cds1181	2	2	0	18	5	76
cds1182	1	0	0	4	1	0
cds1183	5	2	8	20	2	31
cds1184	0	0	11	21	2	32
cds1185	13	8	14	71	14	82
cds1186	17	9	140	206	32	218
cds1187	34	23	39	26	46	61
cds1188	122	81	39	127	187	185
cds1189	74	54	90	25	114	145
cds119	26	8	106	32	25	68
cds1190	3	5	25	50	11	53
cds1191	28	15	42	18	37	124
cds1192	82	79	137	69	157	320
cds1193	7	3	32	73	26	95
cds1194	0	0	0	11	6	39
cds1195	2	0	0	25	2	43
cds1196	0	1	4	4	0	14
cds1197	0	3	50	110	0	388
cds1198	16	8	153	48	34	194
cds1199	2	4	54	38	20	44
cds12	34	23	43	16	76	134
cds120	32	39	73	45	86	266
cds1200	4	0	42	71	0	261
cds1201	1	6	76	35	0	95
cds1202	7	4	198	97	19	234
cds1203	9	11	117	55	39	155
cds1204	0	2	24	1	2	9
cds1205	0	1	0	0	1	10
cds1206	0	0	20	8	7	9
cds1207	0	1	42	14	1	69
cds1208	10	8	80	50	8	76
cds1209	9	3	62	84	14	137
cds121	30	44	9	22	95	71
cds1210	0	1	31	16	1	30
cds1211	2	0	20	20	3	47
cds1212	6	2	25	28	14	109
cds1213	10	7	233	282	31	416
cds1214	5	2	60	20	7	77
cds1215	1	0	31	16	4	44
cds1216	1	3	0	36	1	125
cds1217	8	8	66	39	12	136
cds1218	0	5	32	26	7	17
cds1219	1	4	35	19	2	38
cds122	58	74	33	35	91	272
cds1220	14	6	95	86	28	153
cds1221	9	3	123	160	20	249
cds1222	0	4	92	13	3	40
cds1223	13	16	547	386	22	481
cds1224	7	7	28	68	16	135
cds1225	7	8	139	55	21	249
cds1226	1	3	93	134	6	398
cds1227	1	1	0	2	4	15
cds1228	1	1	53	6	6	54
cds1229	2	3	20	35	5	56
cds123	6	8	0	0	33	12
cds1230	2	1	9	0	0	43
cds1231	2	0	67	13	5	130
cds1232	0	1	0	33	8	91
cds1233	1	2	22	40	5	76
cds1234	0	0	22	22	0	13
cds1235	0	0	59	41	1	38
cds1236	1	0	0	26	3	112
cds1237	3	8	0	16	35	66
cds1238	21	18	59	107	36	158
cds1239	3	5	0	9	1	9
cds124	19	12	24	32	36	73
cds1240	0	3	12	11	1	9
cds1241	1	3	26	19	9	98
cds1242	3	6	45	29	11	133
cds1243	1	1	32	27	5	126
cds1244	2	2	0	5	4	24
cds1245	0	0	0	5	1	32
cds1246	0	2	23	7	2	44
cds1247	1	0	0	15	6	29
cds1248	2	0	59	47	0	131
cds1249	1	1	0	11	3	16
cds125	1	2	0	0	8	3
cds1250	0	1	21	21	2	41
cds1251	0	0	0	6	0	31
cds1252	0	0	47	19	0	23
cds1253	8	14	91	75	41	121
cds1254	6	4	45	46	12	118
cds1255	55	43	24	13	85	73
cds1256	159	124	40	22	218	86
cds1257	44	51	21	26	69	83
cds1258	1	8	39	10	15	115
cds1259	0	0	29	0	2	1
cds126	20	18	19	19	43	55
cds1260	2	2	0	3	1	12
cds1261	16	6	1319	3400	23	8085
cds1262	4	1	0	51	8	113
cds1263	5	5	79	103	15	425
cds1264	0	1	0	31	0	65
cds1265	0	0	0	0	0	3
cds1266	0	0	17	11	1	70
cds1267	0	5	214	515	1	1213
cds1268	0	2	190	473	0	1134
cds1269	0	0	72	26	3	64
cds127	8	6	0	9	19	29
cds1270	1	0	0	62	1	194
cds1271	1	0	46	11	6	36
cds1272	2	1	0	7	1	39
cds1273	0	0	0	0	3	13
cds1274	0	0	0	0	0	0
cds1275	0	0	45	6	0	38
cds1276	1	0	52	7	5	11
cds1277	0	0	41	6	6	42
cds1278	1	6	39	29	4	24
cds1279	0	1	0	35	7	80
cds128	10	13	18	20	39	83
cds1280	1	0	14	4	2	47
cds1281	2	4	39	30	10	84
cds1282	0	2	0	11	2	29
cds1283	7	18	122	30	73	142
cds1284	0	0	0	18	0	51
cds1285	29	32	1522	1029	42	1969
cds1286	2	1	44	44	10	89
cds1287	14	15	157	127	43	429
cds1288	36	13	260	476	40	565
cds1289	1	2	23	37	10	88
cds129	63	39	13	11	93	84
cds1290	1	3	71	101	7	140
cds1291	2	0	16	23	0	48
cds1292	0	1	0	15	0	34
cds1293	0	0	0	0	3	13
cds1294	2	3	14	37	11	62
cds1295	7	6	134	22	22	149
cds1296	0	2	22	5	6	13
cds1297	3	13	184	66	23	125
cds1298	45	61	436	386	112	796
cds1299	15	10	59	58	22	231
cds13	45	14	27	9	61	58
cds130	1	0	32	6	7	11
cds1300	7	12	16	75	16	175
cds1301	0	6	18	30	18	144
cds1302	1	2	48	14	2	82
cds1303	1	13	109	49	27	81
cds1304	1	7	0	7	8	95
cds1305	1	1	22	0	8	51
cds1306	4	6	118	75	41	301
cds1307	3	3	0	5	1	49
cds1308	32	29	275	87	67	176
cds1309	14	34	141	83	74	184
cds131	8	11	9	0	36	66
cds1310	4	2	28	30	11	72
cds1311	11	23	39	121	36	221
cds1312	15	5	164	152	8	367
cds1313	0	0	36	34	0	52
cds1314	24	20	804	575	51	1327
cds1315	31	25	28	5	92	18
cds1316	1	5	143	45	16	197
cds1317	0	0	0	0	0	0
cds1318	0	0	25	31	1	26
cds1319	1	0	0	5	2	29
cds132	40	46	101	43	107	226
cds1320	6	1	0	97	2	49
cds1321	2	4	52	138	5	148
cds1322	2	7	136	111	10	309
cds1323	1	2	37	18	6	72
cds1324	4	5	83	80	13	92
cds1325	0	0	25	10	2	20
cds1326	3	3	139	243	3	525
cds1327	1	0	63	140	3	181
cds1328	0	0	0	29	0	108
cds1329	25	20	238	223	69	478
cds133	3	3	36	0	4	29
cds1330	16	14	66	40	30	66
cds1331	2	6	0	4	7	40
cds1332	0	1	18	8	1	20
cds1333	3	3	0	43	14	101
cds1334	13	13	47	58	15	137
cds1335	0	1	7	12	7	62
cds1336	9	2	81	73	18	146
cds1337	1	0	0	43	0	78
cds1338	0	2	26	84	4	154
cds1339	21	23	227	183	42	380
cds134	3	4	31	5	7	79
cds1340	65	98	69	16	250	40
cds1341	230	270	497	4	432	52
cds1342	118	141	4	22	251	33
cds1343	15	32	41	5	54	57
cds1344	8	0	19	17	8	26
cds1345	0	3	6	7	3	3
cds1346	0	0	18	14	0	58
cds1347	0	0	20	0	1	3
cds1348	4	0	0	0	0	20
cds1349	13	34	108	8	59	62
cds135	27	17	18	19	35	51
cds1350	10	12	48	25	25	89
cds1351	2	0	1	18	1	27
cds1352	3	4	151	140	20	333
cds1353	26	17	276	511	39	843
cds1354	3	0	0	12	7	18
cds1355	8	10	47	20	17	42
cds1356	59	43	61	21	78	58
cds1357	78	49	37	33	97	74
cds1358	5	3	28	7	8	12
cds1359	3	2	14	5	14	41
cds136	3	3	0	0	6	19
cds1360	0	1	0	16	1	16
cds1361	0	0	0	5	1	14
cds1362	0	0	0	0	0	0
cds1363	4	3	0	13	15	61
cds1364	0	0	86	159	0	735
cds1365	0	2	86	70	8	126
cds1366	6	1	114	129	7	364
cds1367	38	11	155	199	30	228
cds1368	92	37	87	55	76	86
cds1369	75	60	141	89	80	85
cds137	29	19	75	0	29	119
cds1370	1	6	0	6	3	0
cds1371	0	0	0	1	0	0
cds1372	0	0	0	21	1	23
cds1373	0	0	0	0	0	0
cds1374	0	2	0	9	0	11
cds1375	0	5	21	30	2	35
cds1376	0	0	76	51	4	69
cds1377	0	0	0	0	0	13
cds1378	0	0	58	43	0	199
cds1379	0	1	93	254	0	1027
cds138	9	11	22	25	35	72
cds1380	1	9	19	40	2	106
