	R935_vitro_1	R935_vitro_2	R935_col_1	R935_col_2	R935_vitro_3	R935_col_3
cds1720	0	0	19	0	0	4
cds1721	0	0	25	3	0	0
cds1722	0	0	20	0	0	0
cds1723	0	0	0	0	0	11
cds1724	0	0	0	0	0	0
cds1725	3	7	53	23	14	52
cds1726	1	3	22	0	2	39
cds1727	12	6	43	29	14	99
cds1728	5	2	56	63	2	82
cds1729	2	4	50	30	0	107
cds173	843	784	202	30	1581	244
cds1730	0	0	0	0	0	13
cds1731	0	4	0	0	1	11
cds1732	216	176	732	508	458	1138
cds1733	38	31	98	103	67	289
cds1734	3	2	26	18	9	22
cds1735	4	3	14	11	25	0
cds1736	11	9	65	6	7	32
cds1737	5	9	20	40	47	188
cds1738	0	0	0	10	1	46
cds1739	0	5	0	6	9	52
cds174	758	734	36	9	1606	60
cds1740	29	17	51	29	34	52
cds1741	1	0	0	0	0	16
cds1742	4	18	180	163	50	736
cds1743	0	0	16	96	4	109
cds1744	1	1	10	11	2	65
cds1745	3	17	69	52	27	87
cds1746	10	8	19	21	31	29
cds1747	14	19	22	90	31	76
cds1748	4	1	38	18	0	26
cds1749	8	14	41	3	32	106
cds175	403	393	44	7	902	168
cds1750	2	3	29	17	0	13
cds1751	12	9	109	41	45	76
cds1752	3	0	95	23	9	61
cds1753	1	3	1	11	8	76
cds1754	14	16	117	99	56	217
cds1755	17	16	128	93	24	122
cds1756	0	0	0	1	0	6
cds1757	4	7	60	60	8	61
cds1758	5	6	37	11	9	65
cds1759	1	2	21	24	2	57
cds176	124	121	53	16	311	86
cds1760	0	1	66	25	2	24
cds1761	8	5	20	34	12	121
cds1762	0	2	17	24	8	36
cds1763	1	3	20	23	2	62
cds1764	0	0	35	12	2	80
cds1765	0	1	17	53	3	63
cds1766	6	15	67	108	28	268
cds1767	0	0	0	0	0	0
cds1768	1	1	51	0	2	58
cds1769	2	3	0	9	0	30
cds177	232	204	46	16	462	171
cds1770	1	0	22	31	1	49
cds1771	5	0	0	11	1	11
cds1772	0	0	0	0	3	15
cds1773	0	0	2	25	4	76
cds1774	0	0	25	0	0	2
cds1775	0	1	29	1	1	30
cds1776	0	0	24	0	0	10
cds1777	0	4	0	12	2	47
cds1778	0	0	0	11	1	42
cds1779	71	52	292	78	228	336
cds178	342	319	40	48	817	414
cds1780	37	52	302	154	121	429
cds1781	38	34	616	402	41	965
cds1782	4	5	52	28	13	54
cds1783	18	16	12	6	53	91
cds1784	475	387	1027	796	840	1678
cds1785	6	14	78	38	32	133
cds1786	9	12	130	135	24	874
cds1787	0	2	17	13	4	28
cds1788	8	2	0	14	14	68
cds1789	4	8	36	15	26	47
cds179	295	275	25	8	694	62
cds1790	4	6	28	20	32	48
cds1791	3	7	57	0	12	46
cds1792	0	2	102	0	6	90
cds1793	49	36	0	18	67	48
cds1794	8	5	9	0	36	20
cds1795	10	20	0	17	28	15
cds1796	3	14	341	728	29	1987
cds1797	2	2	22	46	4	113
cds1798	5520	4735	3148	1759	6012	7627
cds1799	12	23	61	8	63	100
cds18	0	0	0	0	2	10
cds180	386	355	327	136	1367	781
cds1800	0	0	0	0	3	7
cds1801	8	16	175	32	35	49
cds1802	17	10	83	21	53	43
cds1803	5	6	36	6	8	34
cds1804	9	12	51	0	39	13
cds1805	10	4	0	38	15	107
cds1806	0	10	26	10	26	21
cds1807	0	1	0	0	2	15
cds1808	0	2	4	11	10	67
cds1809	3	0	22	20	1	12
cds181	213	172	4	30	540	137
cds1810	8	13	49	120	16	172
cds1811	11	4	221	262	17	331
cds1812	4	6	42	81	14	193
cds1813	6	23	16	33	60	198
cds1814	23	22	125	38	45	74
cds1815	9	6	71	5	7	52
cds1816	3	8	0	0	3	16
cds1817	3	6	42	3	7	73
cds1818	0	2	0	13	2	16
cds1819	0	0	0	9	1	3
cds182	741	648	111	70	1972	267
cds1820	1	0	19	36	3	59
cds1821	7	8	41	36	27	110
cds1822	2	2	27	46	15	45
cds1823	76	123	813	352	231	2019
cds1824	13	15	40	39	30	162
cds1825	4	2	30	4	3	45
cds1826	95	71	429	154	114	388
cds1827	23	27	164	57	32	173
cds1828	7	7	0	36	31	89
cds1829	4	2	9	8	3	23
cds183	1506	1459	255	111	3124	515
cds1830	24	6	105	34	27	75
cds1831	1	6	2	27	8	117
cds1832	0	0	14	23	4	42
cds1833	2	0	0	15	1	69
cds1834	6	6	43	49	42	140
cds1835	3	2	3	12	14	13
cds1836	1	1	0	0	6	2
cds1837	46	57	168	149	132	490
cds1838	163	227	514	380	311	1569
cds1839	51	39	75	31	78	98
cds184	378	364	99	26	737	277
cds1840	24	30	19	24	88	180
cds1841	11	15	0	2	24	2
cds1842	41	40	55	109	95	193
cds1843	11	25	147	260	60	482
cds1844	15	27	144	23	65	329
cds1845	5	10	63	69	9	252
cds1846	14	27	23	36	26	124
cds1847	50	50	136	153	90	509
cds1848	43	29	57	35	101	68
cds1849	12	12	16	8	35	49
cds185	141	110	36	17	274	44
cds1850	23	29	118	36	58	314
cds1851	6	3	27	6	8	57
cds1852	0	0	0	0	0	0
cds1853	412	403	200	106	801	371
cds1854	0	0	0	0	0	25
cds1855	1	0	51	7	0	20
cds1856	99	74	133	76	143	88
cds1857	37	46	98	113	101	286
cds1858	3	6	286	62	4	376
cds1859	5	1	336	66	5	427
cds186	2844	2463	1210	437	5567	2256
cds1860	3	3	26	5	7	20
cds1861	0	2	0	9	0	19
cds1862	1	0	0	0	6	22
cds1863	0	0	0	31	4	25
cds1864	0	2	39	8	3	1
cds1865	2	1	0	0	4	27
cds1866	3	4	22	26	5	133
cds1867	16	6	45	12	8	67
cds1868	0	0	0	0	0	0
cds1869	21	23	110	63	53	185
cds187	613	588	122	48	1094	194
cds1870	12	4	202	71	20	147
cds1871	23	21	657	475	54	2118
cds1872	731	645	7371	6559	1006	14820
cds1873	48	53	836	1068	134	1773
cds1874	66	54	276	720	83	1391
cds1875	6	6	54	18	10	68
cds1876	0	0	0	0	0	11
cds1877	7	3	73	18	6	75
cds1878	50	82	566	480	100	1165
cds1879	25	59	225	151	197	991
cds188	1521	1357	297	105	2970	391
cds1880	8	9	1	8	36	53
cds1881	68	58	153	135	157	670
cds1882	10	2	31	61	14	213
cds1883	6	8	59	57	22	143
cds1884	22	43	546	421	70	1717
cds1885	20	26	23	65	58	114
cds1886	50	36	631	569	176	2408
cds1887	11	9	115	121	22	317
cds1888	73	81	102	72	183	298
cds1889	11	11	34	16	24	96
cds189	1524	1458	236	119	3362	890
cds1890	0	2	22	0	4	9
cds1891	97	119	479	522	184	1462
cds1892	0	1	0	1	1	4
cds1893	9	7	81	57	10	74
cds1894	15	32	137	287	44	498
cds1895	16	10	55	41	46	179
cds1896	7	0	260	52	4	246
cds1897	21	19	1412	973	65	1926
cds1898	25	23	0	9	66	112
cds1899	19	13	20	7	55	123
cds19	190	248	868	267	377	489
cds190	12	6	0	5	28	31
cds1900	26	16	355	257	56	425
cds1901	3	15	51	75	36	285
cds1902	0	6	0	12	6	30
cds1903	113	67	256	269	168	524
cds1904	2	0	18	5	0	0
cds1905	88	117	252	82	250	536
cds1906	62	62	40	24	152	74
cds1907	9	13	103	52	47	179
cds1908	0	0	0	0	0	0
cds1909	4	1	115	22	6	142
cds191	1956	1745	524	188	3737	1749
cds1910	22	12	147	13	23	184
cds1911	0	0	0	0	0	30
cds1912	1	1	13	13	3	50
cds1913	0	2	33	0	5	34
cds1914	6	0	449	65	1	388
cds1915	17	13	29	73	69	247
cds1916	1116	1194	228	109	2391	1365
cds1917	10	15	23	38	28	41
cds1918	0	0	0	5	0	35
cds1919	4	6	135	222	9	505
cds192	2573	2253	324	172	3262	644
cds1920	6	14	0	24	14	74
cds1921	42	47	133	24	114	96
cds1922	38	34	21	8	66	53
cds1923	141	83	44	7	181	40
cds1924	12	19	16	3	35	28
cds1925	56	74	193	36	130	176
cds1926	18	16	76	41	37	106
cds1927	3	0	20	17	3	27
cds1928	6	0	77	12	6	15
cds1929	8	9	59	52	11	90
cds193	1854	1608	148	68	2280	497
cds1930	3	1	24	1	2	16
cds1931	1	3	1854	1307	8	2400
cds1932	0	0	21	12	3	27
cds1933	0	2	88	67	12	157
cds1934	4	9	0	12	7	66
cds1935	0	0	23	3	0	15
cds1936	0	0	0	23	2	6
cds1937	0	1	31	32	4	43
cds1938	0	0	16	13	0	9
cds1939	1	2	0	7	2	42
cds194	8	6	64	10	15	62
cds1940	1	0	73	15	2	62
cds1941	0	0	0	0	0	31
cds1942	0	8	71	30	6	21
cds1943	4	6	11	34	15	38
cds1944	167	81	2821	5407	129	21005
cds1945	16	13	133	42	30	93
cds1946	65	102	375	271	120	412
cds1947	3	1	1348	990	1	4226
cds1948	1	1	0	12	1	19
cds1949	22	36	549	210	93	862
cds195	10540	9293	4566	2195	16715	8380
cds1950	5	4	97	9	21	70
cds1951	0	0	45	7	0	79
cds1952	22	21	174	196	49	347
cds1953	0	0	15	56	3	10
cds1954	13	4	226	560	21	228
cds1955	0	1	58	63	1	102
cds1956	4	1	49	92	12	137
cds1957	3	3	7	29	10	63
cds1958	0	3	23	12	4	71
cds1959	6	0	0	0	10	5
cds196	1753	1679	447	339	3445	1583
cds1960	37	41	129	42	99	114
cds1961	17	15	107	54	56	105
cds1962	40	42	77	6	59	160
cds1963	4	0	2	36	7	35
cds1964	1	1	0	3	1	23
cds1965	27	17	113	26	81	50
cds1966	61	51	296	73	156	175
cds1967	7	7	32	17	11	56
cds1968	83	127	300	216	238	664
cds1969	12	13	55	50	42	59
cds197	590	538	104	152	1110	765
cds1970	42	42	8	45	115	134
cds1971	13	6	0	11	10	22
cds1972	18	19	22	25	37	85
cds1973	16	20	26	100	25	112
cds1974	9	2	24	125	6	344
cds1975	64	45	154	185	74	601
cds1976	85	52	366	284	138	711
cds1977	0	0	0	13	1	42
cds1978	95	66	859	262	129	1411
cds1979	0	0	0	0	13	13
cds198	102	109	148	36	179	244
cds1980	13	9	50	3	16	63
cds1981	44	38	63	28	37	111
cds1982	11	12	0	0	17	21
cds1983	11	11	41	6	13	6
cds1984	21	16	30	34	47	70
cds1985	5	0	0	9	11	47
cds1986	9	8	67	26	17	101
cds1987	74	109	148	134	235	356
cds1988	368	333	335	163	692	778
cds1989	152	118	32	33	288	164
cds199	118	81	154	101	145	306
cds1990	54	52	178	30	160	143
cds1991	10	22	287	126	83	705
cds1992	56	37	25	14	85	85
cds1993	222	230	320	64	294	667
cds1994	2	2	25	0	1	22
cds1995	3	1	17	40	3	91
cds1996	0	0	0	0	3	15
cds1997	0	1	53	8	1	6
cds1998	0	0	0	0	0	0
cds1999	1	3	49	0	6	84
cds2	330	253	296	159	631	1024
cds20	4	5	19	9	16	33
cds200	2	3	74	10	18	22
cds2000	2	7	63	33	10	70
cds2001	19	13	72	19	17	55
cds2002	13	17	4	43	34	57
cds2003	20	14	33	58	44	187
cds2004	38	34	494	419	90	941
cds2005	11	10	243	60	30	321
cds2006	15	9	18	3	26	23
cds2007	10	13	36	26	36	18
cds2008	387	304	139	106	478	207
cds2009	212	157	51	87	297	186
cds201	3	1	0	16	3	46
cds2010	38	17	0	10	80	29
cds2011	99	168	656	279	298	1376
cds2012	24	23	133	88	104	342
cds2013	133	187	945	700	487	1323
cds2014	4	8	49	19	13	141
cds2015	7	13	62	41	17	61
cds2016	11	6	63	38	18	70
cds2017	6	8	0	12	13	29
cds2018	16	11	53	76	34	214
cds2019	3	4	6	20	12	91
cds202	0	3	71	13	4	2
cds2020	299	246	81	59	396	211
cds2021	54	43	465	157	81	524
cds2022	8	2	26	0	11	16
cds2023	73	72	90	21	105	111
cds2024	196	176	42	75	299	194
cds2025	155	243	326	315	334	992
cds2026	298	275	2582	1920	445	4506
cds2027	84	66	37	37	118	80
cds2028	94	93	161	82	127	322
cds2029	108	71	448	374	159	1451
cds203	40	30	145	289	125	512
cds2030	12	12	309	87	33	128
cds2031	1	1	37	30	6	36
cds2032	0	3	25	6	5	31
cds2033	0	0	0	2	0	44
cds2034	0	0	76	20	3	31
cds2035	0	0	31	56	3	63
cds2036	1	2	0	4	1	20
cds2037	6	9	244	122	11	71
cds2038	12	4	33	16	18	59
cds2039	24	20	14	27	31	134
cds204	86	83	449	332	219	1030
cds2040	11	18	109	122	16	236
cds2041	0	2	26	11	4	39
cds2042	9	13	13	46	9	60
cds2043	5	3	0	40	10	87
cds2044	15	30	79	113	58	366
cds2045	4	1	39	60	9	79
cds2046	1	4	34	10	8	48
cds2047	0	0	0	15	0	20
cds2048	11	36	56	121	30	174
cds2049	16	33	514	96	97	568
cds205	94	85	926	455	132	1617
cds2050	3	1	54	452	7	352
cds2051	0	1	13	9	9	49
cds2052	2	2	31	13	20	37
cds2053	0	1	0	4	4	10
cds2054	16	11	91	32	59	94
cds2055	124	102	159	85	202	120
cds2056	100	85	154	76	151	307
cds2057	4	0	80	6	6	68
cds2058	14	19	64	30	58	84
cds2059	5	10	146	58	24	206
cds206	5	0	0	9	0	21
cds2060	133	138	65	39	289	141
cds2061	621	590	1217	413	1025	2233
cds2062	26	32	156	124	40	162
cds2063	7	12	26	17	15	11
cds2064	0	0	0	0	0	4
cds2065	14	10	195	306	19	253
cds2066	23	30	14	18	66	80
cds2067	0	0	0	0	3	12
cds2068	5	14	0	12	19	23
cds2069	53	58	58	50	98	213
cds207	74	63	158	40	201	202
cds2070	21	40	0	30	61	45
cds2071	13	2	47	20	22	84
cds2072	14	18	52	7	29	55
cds2073	14	9	0	17	46	117
cds2074	34	39	98	29	109	178
cds2075	5	11	0	12	14	111
cds2076	0	2	0	12	3	39
cds2077	0	0	0	0	0	7
cds2078	1	1	47	83	17	315
cds2079	6	7	144	28	25	113
cds208	524	509	251	49	1178	347
cds2080	0	0	15	7	7	46
cds2081	0	5	25	5	4	40
cds2082	0	0	0	0	0	10
cds2083	0	0	0	3	0	19
cds2084	0	0	0	0	0	0
cds2085	0	0	31	1	1	11
cds2086	0	0	3	6	0	0
cds2087	1	0	0	8	0	22
cds2088	0	0	19	2	0	14
cds2089	1	0	20	0	0	17
cds209	7	8	0	0	8	23
cds2090	3	0	22	4	0	36
cds2091	0	0	0	0	0	1
cds2092	0	0	0	1	0	21
cds2093	0	0	0	0	3	7
cds2094	8	10	15	22	25	47
cds2095	1	0	0	2	0	8
cds2096	0	0	0	0	0	7
cds2097	85	87	31	87	165	200
cds2098	9	6	0	0	20	6
cds2099	8	11	0	3	23	8
cds21	9	7	19	0	27	21
cds210	29	21	26	44	44	56
cds2100	0	0	1269	2177	4	7844
cds2101	86	70	198	199	123	404
cds2102	40	39	231	233	125	289
cds2103	8	17	110	142	31	192
cds2104	511	410	289	226	959	815
cds2105	49	24	137	36	76	120
cds2106	28	20	11	23	36	59
cds2107	362	318	218	161	594	700
cds2108	21	31	194	83	68	337
cds2109	71	85	625	774	157	3287
cds211	53	37	47	26	78	122
cds2110	3	0	13	3	7	19
cds2111	8	20	23	58	27	143
cds2112	0	0	0	0	0	13
cds2113	0	0	459	501	1	950
cds2114	32	29	4222	4240	56	11016
cds2115	16	20	110	170	57	379
cds2116	57	45	16	15	88	111
cds2117	4	8	0	0	10	0
cds2118	15	13	47	16	28	102
cds2119	2	6	846	611	11	1901
cds212	112	131	608	578	260	1238
cds2120	6	13	363	197	41	423
cds2121	1	8	3	2	10	27
cds2122	16	18	108	46	44	156
cds2123	27	26	66	50	54	158
cds2124	4	3	20	30	20	56
cds2125	4	8	25	12	10	38
cds2126	0	2	10	5	4	48
cds2127	11	2	0	34	5	130
cds2128	6	2	17	33	8	53
cds2129	50	33	94	35	77	20
cds213	43	86	1340	2112	160	5725
cds2130	266	249	1598	1366	410	3039
cds2131	80	76	882	1083	143	2232
cds2132	17	18	53	9	34	50
cds2133	2587	2083	17005	4058	4151	9865
cds2134	2	2	0	9	8	23
cds2135	119	93	262	218	132	246
cds2136	15	9	0	0	31	13
cds2137	31	19	127	169	84	220
cds2138	31	37	126	76	80	158
cds2139	17	13	90	52	44	98
cds214	4	2	268	417	23	1067
cds2140	32	18	30	14	44	48
cds2141	12	13	76	16	47	72
cds2142	58	60	95	49	185	64
cds2143	25	28	27	22	80	171
cds2144	6	5	3	15	13	68
cds2145	2	10	75	50	27	152
cds2146	10	20	152	79	69	311
cds2147	19	16	161	50	64	102
cds2148	37	30	60	41	52	83
cds2149	3	1	21	5	3	22
cds215	22	7	21	38	29	68
cds2150	3	2	0	18	4	115
cds2151	213	144	221	191	449	424
cds2152	69	76	63	63	183	209
cds2153	22	37	51	0	85	44
cds2154	37	39	16	8	65	23
cds2155	73	64	68	27	161	69
cds2156	6	7	88	22	15	172
cds2157	20	16	0	22	36	78
cds2158	12	13	2	18	29	81
cds2159	47	38	541	356	157	849
cds216	438	434	761	283	558	568
cds2160	23	13	36	67	31	166
cds2161	6	4	146	215	10	1529
cds2162	21	8	51	7	13	82
cds2163	11	8	0	10	22	24
cds2164	46	21	89	31	60	190
cds2165	69	60	1813	2762	112	5418
cds2166	3	0	0	9	6	68
cds2167	0	5	0	7	2	0
cds2168	46	40	73	418	75	733
cds2169	529	362	348	288	532	473
cds217	13	8	21	9	29	44
cds2170	57	49	276	598	83	684
cds2171	4	0	0	5	5	33
cds2172	3	0	0	0	0	0
cds2173	2	1	0	2	3	15
cds2174	7	11	38	0	13	53
cds2175	6	4	35	7	5	26
cds2176	10	11	9	32	45	55
cds2177	0	0	0	22	0	2
cds2178	0	0	0	6	0	0
cds2179	0	0	0	7	0	48
cds218	3	0	155	99	3	1098
cds2180	1	0	4	73	5	60
cds2181	0	0	26	22	0	5
cds2182	2	1	51	11	4	23
cds2183	2	1	25	50	6	83
cds2184	4	3	42	31	24	175
cds2185	0	0	0	11	0	22
cds2186	9	13	41	43	17	145
cds2187	3	7	111	52	12	156
cds2188	23	17	192	121	58	315
cds2189	1	1	39	113	12	294
cds219	172	154	455	261	252	953
cds2190	5	4	98	127	14	266
cds2191	1	2	20	69	2	172
cds2192	9	5	19	0	25	77
cds2193	3	0	21	4	4	6
cds2194	6	3	21	8	8	89
cds2195	6	0	57	0	6	61
cds2196	0	0	0	0	1	23
cds2197	5	10	81	42	25	164
cds2198	0	6	28	16	6	95
cds2199	0	5	108	50	11	148
cds22	104	105	53	26	158	44
cds220	5	6	30	15	40	65
cds2200	0	0	15	21	0	46
cds2201	32	55	34	62	98	248
cds2202	404	318	752	757	676	1841
cds2203	820	619	260	122	1194	586
cds2204	38	46	50	89	82	205
cds2205	51	39	341	371	113	1502
cds2206	0	0	69	119	0	455
cds2207	26	19	42	0	59	85
cds2208	11	10	24	5	47	60
cds2209	2047	1935	521	277	4848	1882
cds221	25	21	119	62	38	47
cds2210	1247	1067	680	94	3328	1178
cds2211	104	63	73	26	305	62
cds2212	285	278	21	12	857	187
cds2213	2628	2316	605	194	5004	1739
cds2214	4328	3828	1010	338	7412	2522
cds2215	2276	2097	344	89	3945	412
cds2216	61	79	33	35	99	59
cds2217	32	20	25	8	29	52
cds2218	2253	1965	1643	615	5750	3033
cds2219	6	8	23	75	21	184
cds222	66	67	153	91	258	148
cds2220	4	8	79	118	10	292
cds2221	17	6	32	9	34	68
cds2222	21	32	20	36	56	94
cds2223	0	0	0	0	0	22
cds2224	127	166	318	162	301	609
cds2225	0	0	0	5	0	35
cds2226	0	0	37	0	0	26
cds2227	8	15	13	11	16	28
cds2228	38	36	20	10	74	42
cds2229	130	105	134	579	259	1146
cds223	0	0	0	0	1	14
cds2230	4	4	28	0	8	3
cds2231	0	0	0	0	0	9
cds2232	1	12	22	10	23	62
cds2233	17	9	0	9	11	25
cds2234	54	89	77	67	135	228
cds2235	476	394	295	152	812	596
cds2236	3	5	71	71	12	281
cds2237	26	28	497	489	69	1478
cds2238	5	4	43	93	13	79
cds2239	0	0	30	2	2	9
cds224	3	6	3	0	10	15
cds2240	6	2	332	632	21	877
cds2241	7	3	544	1028	3	641
cds2242	0	0	146	182	1	164
cds2243	20	15	90	73	51	161
cds2244	50	40	72	52	107	145
cds2245	121	133	368	287	171	479
cds2246	20	20	88	28	42	35
cds2247	3	4	0	7	17	91
cds2248	36	48	72	46	94	213
cds2249	111	106	388	203	215	659
cds225	1	3	16	15	7	2
cds2250	2	4	53	55	12	110
cds2251	20	28	807	445	42	1257
cds2252	0	0	0	6	0	63
cds2253	18	23	33	19	49	94
cds2254	5	0	23	2	11	44
cds2255	85	109	524	206	184	666
cds2256	8	16	35	69	18	130
cds2257	1	3	66	25	5	104
cds2258	1	6	151	79	20	340
cds2259	7	18	0	5	85	106
cds226	0	0	0	0	1	0
cds2260	0	0	0	6	4	32
cds2261	69	41	24	1	138	129
cds2262	94	87	135	83	161	370
cds2263	0	0	0	0	2	20
cds2264	69	70	72	18	178	75
cds2265	18	54	768	903	67	1398
cds2266	2	2	45	75	15	138
cds2267	53	71	235	144	162	573
cds2268	3	8	31	64	34	103
cds2269	17	17	0	80	40	117
cds227	1	4	22	48	16	92
cds2270	16	27	105	66	36	214
cds2271	12	10	196	37	34	239
cds2272	0	0	0	0	1	13
cds2273	13	6	46	38	11	149
cds2274	30	28	0	6	45	91
cds2275	11	9	26	15	26	81
cds2276	5	8	0	3	15	88
cds2277	236	237	17	9	523	142
cds2278	2	1	0	6	1	30
cds2279	5	1	0	8	11	105
cds228	928	854	229	107	1672	669
cds2280	0	0	0	0	0	14
cds2281	17	11	49	68	25	143
cds2282	2	0	31	43	6	49
cds2283	56	83	2520	1948	247	5223
cds2284	3	1	0	3	8	40
cds2285	0	0	35	0	2	10
cds2286	0	0	7	72	1	132
cds2287	25	5	46	10	26	41
cds2288	5	0	56	13	5	115
cds2289	5	2	0	11	2	32
cds229	36	43	548	305	68	2317
cds2290	42	32	22	3	117	67
cds2291	1	4	0	2	5	7
cds2292	0	0	0	0	0	11
cds2293	0	0	0	0	1	34
cds2294	0	0	0	0	3	0
cds2295	125	116	165	177	260	596
cds2296	14	8	77	46	33	111
cds2297	36	43	0	37	73	167
cds2298	0	1	210	350	0	1068
cds2299	0	0	0	12	0	184
cds23	5	0	0	26	7	56
cds230	37	26	24	6	48	42
cds2300	0	1	31	65	1	206
cds2301	3	2	0	8	6	63
cds2302	6	6	63	61	20	188
cds2303	32	104	741	789	248	1559
cds2304	354	260	37	146	431	247
cds2305	83	60	29	28	138	49
cds2306	234	209	173	57	322	224
cds2307	23	24	0	0	44	1
cds2308	21	14	12	4	38	18
cds2309	4	6	0	6	3	0
cds231	6	1	16	10	20	31
cds2310	3	2	7	0	12	2
cds2311	36	16	11	34	31	67
cds2312	29	19	0	0	32	14
cds2313	8	14	0	0	8	1
cds2314	34	25	27	0	104	70
cds2315	26	20	0	18	68	30
cds2316	10	19	0	0	27	39
cds2317	34	40	24	11	90	37
cds2318	37	40	40	6	71	27
cds2319	40	20	59	0	49	44
cds232	45	42	99	132	124	323
cds2320	30	25	22	0	47	137
cds2321	4	6	37	0	14	17
cds2322	6	3	0	3	11	50
cds2323	50	30	158	158	95	262
cds2324	62	84	254	212	151	726
cds2325	0	2	83	149	5	353
cds2326	123	107	124	84	328	206
cds2327	4861	4390	1726	813	8519	2431
cds2328	1271	1002	72	65	1666	330
cds2329	580	508	521	379	1029	909
cds233	15	22	133	56	70	141
cds2330	10	9	11	18	46	45
cds2331	375	389	248	180	702	417
cds2332	248	228	335	181	380	670
cds2333	212	247	1254	481	470	1380
cds2334	8	8	21	13	17	40
cds2335	108	90	546	321	166	576
cds2336	665	504	416	182	710	1776
cds2337	91	45	108	26	104	29
cds2338	117	89	0	23	168	56
cds2339	305	285	111	98	626	222
cds234	6	11	53	33	47	149
cds2340	29	21	37	17	31	63
cds2341	14	3	57	7	29	7
cds2342	4	5	19	11	22	32
cds2343	22	5	21	62	60	64
cds2344	0	0	0	0	0	0
cds2345	5	9	96	34	20	153
cds2346	2	4	0	8	6	32
cds2347	6	6	11	0	7	1
cds2348	0	0	11	0	0	18
cds2349	64	27	290	129	57	299
cds235	15	17	21	7	41	4
cds2350	0	0	0	0	0	9
cds2351	12	12	42	18	42	59
cds2352	0	2	19	0	3	8
cds2353	16	19	105	11	36	138
cds2354	0	2	17	0	3	2
cds2355	0	3	14	31	8	83
cds2356	3	0	0	6	1	5
cds2357	0	2	0	0	5	0
cds2358	2195	1718	2819	2036	3191	4035
cds2359	374	308	986	441	572	1153
cds236	17	14	111	78	61	301
cds2360	19	16	89	75	38	129
cds2361	79	76	112	112	131	325
cds2362	13	6	57	31	43	65
cds2363	11	6	66	11	14	59
cds2364	168	136	392	181	191	531
cds2365	2	4	14	4	4	36
cds2366	26	42	189	111	69	334
cds2367	266	226	1501	871	432	2105
cds2368	65	54	269	350	153	655
cds2369	5	3	20	13	5	44
cds237	16	16	184	78	50	137
cds2370	11	10	49	41	28	85
cds2371	43	67	197	208	188	413
cds2372	98	101	270	131	173	359
cds2373	18	20	0	36	34	69
cds2374	1	1	0	6	3	3
cds2375	0	0	0	0	4	13
cds2376	53	39	102	26	110	272
cds2377	106	170	436	220	330	427
cds2378	53	39	400	812	178	4479
cds2379	27	17	143	60	62	117
cds238	11	23	24	8	39	28
cds2380	1	1	0	10	3	22
cds2381	0	2	35	78	7	13
cds2382	2	0	0	14	7	33
cds2383	0	0	0	0	0	0
cds2384	0	0	0	0	1	30
cds2385	9	10	20	8	44	78
cds2386	5	0	443	842	2	1524
cds2387	57	46	85	38	84	225
cds2388	5	11	1106	1106	16	1047
cds2389	4	6	32	4	4	14
cds239	76	67	116	25	159	216
cds2390	3	1	17	2	1	0
cds2391	18	20	0	17	41	59
cds2392	13	43	211	99	59	486
cds2393	84	62	367	120	164	369
cds2394	30	25	207	163	88	524
cds2395	26	36	22	37	48	177
cds2396	0	2	70	56	5	187
cds2397	2	3	398	331	9	939
cds2398	24	30	515	169	62	592
cds2399	0	0	27	37	6	72
cds24	16	19	5823	5942	54	13759
cds240	49	46	203	190	74	382
cds2400	11	8	14	72	22	104
cds2401	4	2	26	64	21	142
cds2402	321	221	252	143	533	307
cds2403	5	2	0	20	3	123
cds2404	31	37	60	11	95	80
cds2405	6	15	0	26	24	12
cds2406	108	106	43	10	169	143
cds2407	58	30	18	6	116	40
cds2408	4	14	49	43	20	138
cds2409	2	10	112	144	11	272
cds241	9	4	0	12	17	120
cds2410	841	744	681	327	1641	1901
cds2411	1	0	0	3	7	21
cds2412	17	32	29	41	44	105
cds2413	177	178	763	500	301	1194
cds2414	436	332	363	323	690	1497
cds2415	0	0	29	0	0	2
cds2416	0	0	132	561	0	1173
cds2417	0	4	0	8	12	38
cds2418	0	5	20	8	17	54
cds2419	94	51	39	26	176	89
cds242	33	29	161	232	56	456
cds2420	92	123	221	195	318	524
cds2421	0	2	0	6	6	0
cds2422	4	3	0	9	16	6
cds2423	2	0	122	173	1	143
cds2424	6	0	556	1897	8	1903
cds2425	21	14	260	313	48	544
cds2426	2	0	7	8	2	22
cds2427	7	7	645	497	23	761
cds2428	1	3	67	89	13	222
cds2429	7	15	105	46	34	292
cds243	75	117	181	73	146	173
cds2430	44	78	85	78	196	318
cds2431	57	70	41	13	181	207
cds2432	0	0	0	0	4	6
cds2433	0	2	0	0	1	31
cds2434	72	79	102	58	144	178
cds2435	144	158	442	141	234	374
cds2436	219	194	48	32	299	247
cds2437	11	18	0	9	49	122
cds2438	103	118	665	411	485	655
cds2439	2	3	44	10	14	52
cds244	0	1	0	0	1	7
cds2440	99	101	122	33	179	228
cds2441	24	25	195	110	104	500
cds2442	9	3	0	55	17	132
cds2443	9	19	72	47	30	134
cds2444	17	14	34	12	28	14
cds2445	91	100	201	100	162	272
cds2446	33	13	46	48	20	140
cds2447	145	138	51	96	272	370
cds2448	3	1	23	54	10	350
cds2449	20	20	17	48	70	62
cds245	2	0	0	5	8	7
cds2450	112	177	396	222	262	1283
cds2451	1	0	15	3	3	26
