	L176_col_1	L176_vitro_1	L176_vitro_2	L176_vitro_3	L176_col_2	L176_col_3
cds1174	15	34	45	26	12	21
cds1175	78	147	148	51	44	89
cds1176	10	40	32	4	12	5
cds1177	42	93	84	31	37	64
cds1178	60	47	24	23	44	72
cds1179	86	33	45	9	54	53
cds118	117	2004	2438	1465	360	339
cds1180	12	6	4	3	24	11
cds1181	57	29	20	36	57	89
cds1182	125	198	142	66	96	93
cds1183	27	165	118	49	40	60
cds1184	47	147	126	75	19	44
cds1185	19	90	110	21	13	20
cds1186	14	75	65	25	2	14
cds1187	1	40	21	3	7	2
cds1188	18	87	49	29	14	50
cds1189	9	58	38	27	9	2
cds119	54	190	193	127	72	54
cds1190	12	31	19	19	14	17
cds1191	2	0	4	0	8	16
cds1192	49	88	47	43	48	83
cds1193	59	126	101	54	42	51
cds1194	86	74	45	26	84	205
cds1195	116	224	118	34	49	69
cds1196	4	20	2	2	5	6
cds1197	41	32	21	25	28	53
cds1198	82	62	40	23	131	127
cds1199	28	46	31	15	30	76
cds12	207	489	351	166	198	200
cds120	3	89	77	39	0	2
cds1200	68	34	34	13	44	50
cds1201	216	93	46	30	135	192
cds1202	138	99	69	41	127	166
cds1203	18	39	16	14	33	7
cds1204	18	66	36	27	8	28
cds1205	115	87	82	68	87	90
cds1206	4	17	14	0	4	18
cds1207	30	33	9	4	26	23
cds1208	22	45	40	19	33	37
cds1209	107	77	68	31	75	117
cds121	13	220	302	171	34	34
cds1210	39	42	17	11	38	40
cds1211	44	12	16	4	32	74
cds1212	155	33	32	26	162	171
cds1213	48	255	101	55	29	70
cds1214	75	430	244	92	76	129
cds1215	29	146	75	24	26	13
cds1216	192	332	184	101	190	212
cds1217	1093	1311	731	503	700	711
cds1218	256	269	265	115	270	321
cds1219	136	168	99	81	226	245
cds122	622	1142	790	451	653	735
cds1220	52	17	24	16	57	63
cds1221	21	7	2	3	55	18
cds1222	12	328	504	357	41	54
cds1223	19	52	21	19	30	52
cds1224	100	260	142	119	80	107
cds1225	0	13	17	0	0	0
cds1226	10	15	14	3	8	21
cds1227	58	28	10	6	52	36
cds1228	38	18	2	6	26	25
cds1229	18	28	10	2	25	17
cds123	96	178	89	71	123	192
cds1230	58	66	54	31	43	56
cds1231	2	25	30	19	2	1
cds1232	471	1125	862	611	564	514
cds1233	7	24	13	4	10	15
cds1234	75	589	581	298	130	119
cds1235	26	77	96	27	7	27
cds1236	65	402	470	229	76	97
cds1237	19	60	82	46	7	13
cds1238	1379	823	305	199	1881	2108
cds1239	3895	7748	2836	1418	2509	3833
cds124	22	488	364	168	42	65
cds1240	30	308	128	58	33	58
cds1241	16	231	52	48	58	47
cds1242	10	64	17	10	6	61
cds1243	382	1195	2395	1082	177	288
cds1244	711	769	454	321	1017	998
cds1245	50	731	805	608	38	66
cds1246	0	2	5	1	4	10
