	L176_col_1	L176_vitro_1	L176_vitro_2	L176_vitro_3	L176_col_2	L176_col_3
cds1717	112	128	35	44	61	81
cds1718	72	122	91	44	74	126
cds1719	54	24	33	6	11	15
cds172	260	435	801	385	145	117
cds1720	235	2381	2609	1593	243	409
cds1721	15	10	12	10	26	31
cds1722	1530	375	295	176	1988	1341
cds1723	35	36	27	20	45	92
cds1724	145	151	104	52	198	149
cds1725	137	45	26	15	200	99
cds1726	1	9	3	3	3	3
cds1727	109	257	283	146	97	200
cds1728	44	83	44	23	51	25
cds1729	50	114	87	31	20	13
cds173	85	196	255	183	95	89
cds1730	191	460	264	202	290	425
cds1731	419	449	367	184	761	737
cds1732	220	655	508	378	298	322
cds1733	13	18	25	7	4	25
cds1734	70	258	149	94	115	208
cds1735	609	1093	722	326	468	727
cds1736	46	18	12	6	40	41
cds1737	2206	1025	580	271	1715	1676
cds1738	194	266	126	92	224	202
cds1739	324	1598	1172	680	259	472
cds174	9	110	118	59	1	3
cds1740	222	1051	703	479	145	158
cds1741	957	2259	1972	1021	905	994
cds1742	101	431	380	159	67	61
cds1743	218	409	295	121	142	199
cds1744	871	1179	1003	446	1010	1220
cds1745	110	504	448	245	94	101
cds1746	649	1488	996	420	540	567
cds1747	177	849	1177	607	177	207
cds1748	63	190	197	91	111	86
cds1749	0	0	0	0	0	0
cds175	845	2513	825	449	956	870
cds1750	55	165	14	11	16	18
cds1751	0	0	0	1	0	0
cds1752	0	0	2	0	2	0
cds1753	0	6	11	9	4	12
cds1754	0	4	1	4	0	3
cds1755	11	31	6	6	9	17
cds1756	30	132	83	40	20	43
cds1757	108	568	342	145	118	168
cds1758	22	256	129	57	4	43
cds1759	110	870	532	161	103	88
cds176	0	8	23	16	4	4
cds1760	69	361	236	98	48	50
cds1761	8	85	99	53	6	21
cds1762	50	286	165	113	40	59
cds1763	37	212	170	72	36	34
cds1764	120	1918	662	321	87	181
cds1765	73	756	284	126	46	127
cds1766	11	294	122	53	3	13
cds1767	56	117	97	40	58	78
cds1768	24	9	15	2	3	8
cds1769	0	0	0	0	3	6
cds177	39	119	106	78	56	66
cds1770	62	198	88	73	110	143
cds1771	53	1220	944	479	41	55
cds1772	286	1497	1255	549	243	276
cds1773	12	269	272	104	14	24
cds1774	17	24	19	10	12	14
cds1775	181	177	76	46	214	195
cds1776	251	323	215	92	477	244
cds1777	519	937	825	397	467	624
cds1778	1805	1211	971	373	2118	1880
cds1779	10	201	149	75	6	12
cds178	293	1440	1469	850	291	410
cds1780	73	383	280	155	67	112
cds1781	24	169	102	49	14	36
cds1782	88	88	65	31	96	122
cds1783	7	39	15	8	0	15
cds1784	235	895	625	260	161	180
cds1785	189	576	355	178	209	323
cds1786	120	576	372	189	118	172
cds1787	10	33	23	32	1	1
cds1788	15	127	67	66	12	43
cds1789	1	4	3	2	0	2
cds179	75	2475	1278	628	41	130
cds1790	21	58	33	43	16	23
cds1791	111	38	32	30	32	32
cds1792	7	33	11	19	2	8
cds1793	18	32	42	19	20	18
cds1794	1	9	1	5	1	0
cds1795	8	22	18	10	14	21
cds1796	6	7	0	0	0	16
cds1797	0	1	0	0	0	1
cds1798	62	24	21	9	77	78
cds1799	11	21	26	12	2	27
cds18	34	87	39	35	23	33
cds180	56	38	61	23	31	49
cds1800	56	364	365	188	30	86
cds1801	41	106	44	34	35	46
cds1802	262	434	326	202	107	149
cds1803	3	6	0	1	6	0
cds1804	17	37	33	10	11	43
cds1805	5	10	5	3	23	25
cds1806	29	24	4	9	45	60
cds1807	28	90	69	40	17	23
cds1808	97	149	79	66	85	122
cds1809	0	5	13	1	0	11
cds181	347	185	107	60	274	271
cds1810	25	16	5	6	13	35
cds1811	156	146	71	47	146	98
cds1812	42	3	1	2	41	43
cds1813	60	72	25	8	38	90
cds1814	0	10	3	2	2	0
cds1815	95	131	54	32	88	101
cds1816	106	156	84	48	117	72
cds1817	21	7	6	1	49	58
cds1818	1	8	0	2	0	5
cds1819	11	11	8	11	6	2
cds182	120	46	27	7	92	85
cds1820	22	40	35	35	34	52
cds1821	236	272	282	98	102	124
cds1822	2	0	0	0	0	0
cds1823	73	378	169	67	77	68
cds1824	140	338	252	149	133	118
cds1825	807	1209	894	577	812	1172
cds1826	238	832	628	317	211	413
cds1827	248	1489	605	353	533	922
cds1828	26	91	43	20	184	167
cds1829	55	281	115	54	36	110
cds183	83	69	40	18	58	50
cds1830	36	50	7	7	10	18
cds1831	14	38	27	13	9	14
cds1832	34	56	71	48	24	67
cds1833	13	3	0	6	25	32
cds1834	4	11	2	4	13	13
cds1835	15	10	0	3	19	27
cds1836	65	20	5	4	65	64
cds1837	48	3	0	2	36	106
cds1838	385	115	188	94	399	473
cds1839	85	250	225	92	73	102
cds184	97	54	10	17	62	67
cds1840	31	82	64	28	31	27
cds1841	286	42	22	11	284	50
cds1842	64	38	14	16	137	65
cds1843	45	23	12	4	47	50
cds1844	66	69	23	10	74	89
cds1845	4	16	9	17	8	11
cds1846	122	85	70	35	138	164
cds1847	4	4	0	0	13	2
cds1848	11	2	0	0	1	1
cds1849	159	92	26	13	139	148
cds185	11	11	0	5	8	9
cds1850	154	129	54	40	199	209
cds1851	100	248	57	59	83	114
cds1852	253	2	4	14	231	233
cds1853	257	307	293	119	200	370
cds1854	8	19	2	0	10	13
cds1855	20	81	26	12	18	27
cds1856	10	48	11	7	48	18
cds1857	20	32	19	8	23	29
cds1858	17	32	3	4	23	52
cds1859	39	95	75	22	30	43
cds186	152	101	79	37	298	206
cds1860	13	36	9	7	13	25
cds1861	71	39	37	5	137	107
cds1862	53	26	5	7	70	51
cds1863	64	45	19	25	16	83
cds1864	4	0	2	2	0	0
cds1865	448	227	116	75	271	221
cds1866	0	1	5	1	0	16
cds1867	1	0	0	1	4	3
cds1868	31	59	36	11	39	55
cds1869	70	478	386	217	49	163
cds187	66	42	19	24	52	35
cds1870	9	25	9	14	22	19
cds1871	70	9	8	4	106	73
cds1872	0	0	0	0	12	0
cds1873	27	25	17	4	39	34
cds1874	35	98	55	26	17	96
cds1875	11	24	2	2	21	10
cds1876	53	21	10	13	20	58
cds1877	63	70	59	38	36	63
cds1878	26	38	30	6	15	40
cds1879	73	28	41	9	35	77
cds188	35	46	6	9	6	12
cds1880	13	13	20	7	0	1
cds1881	8	3	5	3	0	1
cds1882	4	21	17	5	3	13
cds1883	4	10	21	14	2	13
cds1884	24	32	32	27	13	19
cds1885	18	14	13	9	31	4
cds1886	38	52	39	10	34	11
cds1887	0	0	0	0	0	0
cds1888	7	76	52	36	7	13
cds1889	282	81	50	28	314	291
cds189	545	363	266	131	746	715
cds1890	305	80	91	84	250	337
cds1891	1	30	11	13	0	4
cds1892	4	31	29	16	3	11
cds1893	37	74	66	47	15	41
cds1894	173	4223	5514	2688	143	368
cds1895	24	1	2	0	10	3
cds1896	908	11	143	46	1516	438
cds1897	768	6167	5890	2990	771	973
cds1898	229	1357	1587	930	345	408
cds1899	14	11	4	3	50	36
cds19	356	542	191	204	316	364
cds190	9	52	45	22	11	10
cds1900	49	2229	2322	1178	68	180
cds1901	380	2525	2064	1257	381	541
cds1902	61	228	168	75	22	32
cds1903	13	87	58	23	26	26
cds1904	112	277	236	119	217	191
cds1905	191	117	83	50	276	274
cds1906	46	27	9	10	22	34
cds1907	15	10	10	7	14	22
cds1908	48	89	55	40	39	44
cds1909	272	2577	2997	2246	174	294
cds191	7	59	19	14	15	41
cds1910	2	1	5	5	2	7
cds1911	268	427	296	182	316	402
cds1912	197	291	262	131	234	289
cds1913	18	16	13	3	7	31
cds1914	1	3	6	0	0	4
cds1915	8	2	0	0	0	0
cds1916	143	203	171	66	80	143
cds1917	79	20	4	2	136	80
cds1918	4	5	2	2	0	5
cds1919	89	92	68	31	62	47
cds192	91	306	207	157	57	62
cds1920	1	0	0	0	1	8
cds1921	0	0	2	0	2	0
cds1922	233	331	203	103	144	198
cds1923	86	525	393	113	29	46
cds1924	2	169	186	48	0	0
cds1925	43	127	67	31	12	33
cds1926	5	55	36	21	0	6
cds1927	0	20	12	1	0	1
cds1928	1290	235	159	90	787	945
cds1929	2	1	5	1	11	0
cds193	25	211	267	212	16	19
cds1930	4	13	1	4	7	2
cds1931	0	0	0	0	0	4
cds1932	3	1	0	0	2	1
cds1933	2	0	0	0	12	8
cds1934	1	0	6	0	4	7
cds1935	26	10	9	13	36	30
cds1936	81	72	100	98	159	131
cds1937	376	88	130	114	786	450
cds1938	1066	191	129	116	1000	1229
cds1939	0	0	0	1	0	7
cds194	21	80	98	64	6	17
cds1940	52	229	157	75	17	38
cds1941	171	801	695	403	153	233
cds1942	9	124	100	47	18	4
cds1943	150	224	222	120	64	122
cds1944	118	152	75	27	64	78
cds1945	12	202	159	109	26	53
cds1946	44	161	183	77	14	20
cds1947	122	324	266	127	96	126
cds1948	43	99	77	50	48	24
cds1949	269	117	79	63	292	174
cds195	6	83	110	35	2	6
cds1950	1	18	20	12	11	6
cds1951	417	758	544	362	340	459
cds1952	19	1	7	2	5	5
cds1953	94	228	129	51	136	151
cds1954	163	231	150	76	128	201
cds1955	158	246	117	86	203	235
cds1956	27	28	16	8	29	53
cds1957	10	15	25	1	0	14
cds1958	27	32	29	15	21	47
cds1959	97	142	53	39	79	139
cds196	0	90	45	27	10	2
cds1960	14	4	1	3	4	1
cds1961	174	119	86	54	128	176
cds1962	33	15	21	2	32	44
cds1963	3	5	21	5	13	5
cds1964	3	16	14	9	5	25
cds1965	14	42	31	16	4	33
cds1966	346	1249	403	248	466	376
cds1967	175	122	79	45	166	165
cds1968	150	214	107	66	81	148
cds1969	115	222	104	80	71	88
cds197	308	1494	1153	682	279	404
cds1970	36	29	28	9	42	82
cds1971	77	10	10	6	65	55
cds1972	10	9	0	3	14	13
cds1973	8	5	0	2	0	16
cds1974	163	248	152	50	140	165
cds1975	2	4	2	2	2	10
cds1976	35	134	107	64	11	41
cds1977	16	56	46	26	5	10
cds1978	39	81	118	87	17	29
cds1979	52	58	40	42	12	38
cds198	165	2304	1953	1073	100	131
cds1980	6	4	2	0	13	6
cds1981	25	91	62	41	13	3
cds1982	3	8	20	6	15	7
cds1983	157	507	302	152	220	163
cds1984	47	205	116	51	18	27
cds1985	81	173	166	162	130	126
cds1986	33	8	0	3	25	46
cds1987	55	318	207	61	52	71
cds1988	36	171	89	28	38	34
cds1989	56	169	230	83	73	83
cds199	1394	2838	2695	1277	1628	1711
cds1990	6	5	4	6	6	18
cds1991	731	348	263	133	396	423
cds1992	813	1550	1162	665	499	659
cds1993	42	117	109	54	60	47
cds1994	7	14	13	7	7	16
cds1995	10	9	7	2	18	15
cds1996	15	22	2	1	15	16
cds1997	71	223	100	59	69	88
cds1998	100	155	74	36	101	209
cds1999	94	129	96	75	90	138
cds2	52	18	24	25	63	13
cds20	22	75	53	30	17	17
cds200	201	406	370	205	166	235
cds2000	5	36	44	57	0	3
cds2001	3	57	57	45	0	7
cds2002	58	566	395	269	23	66
cds2003	118	122	121	46	75	73
cds2004	5	1	0	0	0	0
cds2005	24	21	14	25	34	11
cds2006	117	152	124	62	101	75
cds2007	94	40	47	23	92	78
cds2008	75	1233	1153	453	22	113
cds2009	15	2	20	15	22	13
cds201	437	1227	818	478	312	412
cds2010	11	13	33	11	19	14
cds2011	3	4	6	3	4	0
cds2012	9	24	18	10	12	31
cds2013	292	1021	966	515	285	307
cds2014	128	70	45	23	188	114
cds2015	0	6	6	6	2	10
cds2016	751	576	441	326	653	510
cds2017	397	618	396	220	184	179
cds2018	1553	1538	1326	668	1259	1210
cds2019	1	103	119	91	6	11
cds202	0	59	70	37	5	8
cds2020	83	1714	2032	1105	59	134
cds2021	51	127	42	36	16	32
cds2022	176	394	421	126	160	158
cds2023	10	26	24	11	2	0
cds2024	16	54	29	14	2	8
cds2025	12	53	34	21	19	34
cds2026	33	87	71	27	26	33
cds2027	32	44	35	23	16	56
cds2028	19	94	36	20	23	31
cds2029	29	66	66	31	23	36
cds203	174	513	380	176	244	222
cds2030	24	62	26	13	25	36
cds2031	44	41	26	15	53	85
cds2032	39	21	13	9	12	23
cds2033	17	7	2	6	35	35
cds2034	175	248	136	89	140	159
cds2035	65	114	63	36	75	97
cds2036	304	305	102	77	243	256
cds2037	368	856	215	162	310	385
cds2038	660	917	435	220	531	640
cds2039	760	724	460	224	515	706
cds204	15	48	62	34	14	24
cds2040	24	102	94	61	53	52
cds2041	105	54	54	29	146	64
cds2042	40	200	208	133	30	21
cds2043	26	158	161	88	32	37
cds2044	20	161	166	93	18	21
cds2045	63	313	316	143	50	35
cds2046	36	192	226	79	21	33
cds2047	31	288	358	161	11	53
cds2048	63	93	66	42	37	66
cds2049	39	28	34	15	31	22
cds205	169	191	194	73	115	150
cds2050	124	129	68	46	113	185
cds2051	78	192	80	43	87	138
cds2052	30	45	10	6	23	46
cds2053	227	1001	640	410	154	318
cds2054	35	147	114	54	7	11
cds2055	331	799	520	224	117	233
cds2056	215	678	480	304	196	190
cds2057	17	131	178	62	22	36
cds2058	15	126	129	47	19	21
cds2059	12	13	11	5	14	6
cds206	102	243	181	97	69	77
cds2060	94	238	160	63	102	84
cds2061	540	1130	1083	343	412	356
cds2062	48	290	164	94	81	100
cds2063	512	3207	1868	959	232	277
cds2064	12	44	18	3	2	9
cds2065	6	30	14	4	3	10
cds2066	12	26	4	4	29	22
cds2067	20	61	62	46	26	21
cds2068	23	129	101	56	2	19
cds2069	8	28	30	10	7	12
cds207	62	72	58	42	27	80
cds2070	84	24	49	25	136	79
cds2071	58	45	23	5	40	28
cds2072	17	9	0	0	10	4
cds2073	5	25	6	1	7	44
cds2074	149	55	14	43	239	231
cds2075	60	72	8	4	95	97
cds2076	81	40	39	20	41	83
cds2077	3	2	11	2	6	0
cds2078	6	0	0	1	4	1
cds2079	72	248	226	58	75	130
cds208	606	628	458	246	471	600
cds2080	19	35	9	8	44	57
cds2081	65	359	146	92	94	161
cds2082	50	98	39	20	7	42
cds2083	8	25	8	4	3	16
cds2084	21	56	21	30	24	47
cds2085	19	70	25	21	15	29
cds2086	1	30	37	9	1	3
cds2087	23	32	25	16	25	26
cds2088	115	303	209	89	95	91
cds2089	42	127	147	55	26	34
cds209	240	21	7	6	219	203
cds2090	846	1094	686	365	358	501
cds2091	90	301	182	133	42	114
cds2092	7	37	22	5	11	2
cds2093	81	360	209	110	39	65
cds2094	92	372	227	87	61	91
cds2095	9	211	180	41	11	50
cds2096	95	244	111	59	47	80
cds2097	893	137	47	93	852	750
cds2098	118	46	27	28	73	101
cds2099	273	18	9	9	152	178
cds21	1	25	32	14	1	11
cds210	31	91	61	27	2	14
cds2100	18	0	3	0	2	4
cds2101	120	30	18	11	34	22
cds2102	63	55	38	17	46	52
cds2103	2	5	4	2	1	12
cds2104	14	7	8	4	11	26
cds2105	0	9	12	10	0	3
cds2106	16	61	43	10	0	3
cds2107	5	117	173	85	20	16
cds2108	80	1238	2177	1071	25	77
cds2109	157	5	3	9	100	110
cds211	82	173	60	72	65	62
cds2110	3	3	0	3	0	5
cds2111	7	19	19	8	1	0
cds2112	51	165	118	101	27	60
cds2113	7	10	15	4	2	15
cds2114	9	2	6	1	6	14
cds2115	40	49	47	30	33	50
cds2116	7	16	32	19	0	0
cds2117	2	24	27	13	0	7
cds2118	53	47	32	21	36	56
cds2119	22	32	55	26	7	13
cds212	44	201	167	143	60	43
cds2120	57	77	53	50	69	22
cds2121	80	94	59	79	55	33
cds2122	29	20	23	32	48	38
cds2123	102	215	223	107	34	50
cds2124	9	31	41	26	8	4
cds2125	26	101	42	42	4	5
cds2126	88	161	80	37	40	96
cds2127	6	10	4	3	10	9
cds2128	20	5	2	11	29	44
cds2129	11	16	5	5	21	14
cds213	11	31	17	15	5	5
cds2130	26	16	19	8	6	35
cds2131	28	87	60	62	15	50
cds2132	14	34	28	25	10	6
cds2133	4	36	14	15	0	8
cds2134	8	68	70	36	17	42
cds2135	15	35	39	18	14	6
cds2136	2	5	12	3	6	6
cds2137	8	46	19	16	1	5
cds2138	39	65	90	18	31	19
cds2139	56	117	107	56	48	57
cds214	74	40	27	15	31	35
cds2140	115	58	62	37	66	66
cds2141	11	6	8	4	1	8
cds2142	97	245	106	51	89	110
cds2143	123	126	96	47	77	176
cds2144	41	84	60	35	46	67
cds2145	49	44	16	12	22	13
cds2146	11	15	11	7	11	20
cds2147	18	5	8	5	18	18
cds2148	29	33	30	17	17	71
cds2149	101	49	47	25	87	79
cds215	137	32	51	18	74	99
cds2150	9	9	6	3	10	11
cds2151	82	93	49	41	149	123
cds2152	14	22	9	5	13	2
cds2153	24	35	38	22	10	38
cds2154	132	544	391	236	228	139
cds2155	69	396	303	147	65	83
cds2156	93	161	117	46	98	175
cds2157	205	1479	1332	597	263	361
cds2158	22	301	373	119	6	7
cds2159	51	310	260	139	13	12
cds216	19	37	40	18	11	21
cds2160	131	1107	1092	436	76	168
cds2161	63	350	232	162	90	85
cds2162	76	315	325	161	27	51
cds2163	14	285	286	127	51	36
cds2164	72	258	265	113	72	53
cds2165	36	28	34	22	31	49
cds2166	24	38	37	45	11	9
cds2167	52	579	451	244	49	59
cds2168	37	219	145	88	19	3
cds2169	43	473	332	177	32	82
cds217	358	74	59	22	424	343
cds2170	79	593	412	299	64	67
cds2171	14	375	199	130	15	31
cds2172	52	236	156	85	33	53
cds2173	85	343	181	130	60	91
cds2174	0	36	34	6	13	10
cds2175	3	153	112	50	6	7
cds2176	30	313	207	159	42	65
cds2177	8	23	10	13	0	5
cds2178	14	49	45	14	2	6
cds2179	23	236	153	72	3	21
cds218	104	153	98	48	55	79
cds2180	548	370	160	84	716	774
cds2181	155	220	81	40	148	261
cds2182	45	56	40	44	53	50
cds2183	10	93	113	45	27	22
cds2184	20	90	90	40	9	12
cds2185	16	25	31	12	1	0
cds2186	26	296	214	147	25	35
cds2187	385	1199	1320	759	353	231
cds2188	126	2156	2079	1154	109	131
cds2189	349	110	152	55	296	240
cds219	14	82	66	21	3	0
cds2190	40	157	89	40	57	38
cds2191	23	60	44	30	37	14
cds2192	71	96	122	47	37	63
cds2193	22	75	42	30	16	1
cds2194	44	85	48	30	30	14
cds2195	3	27	29	8	0	0
cds2196	15	35	46	39	1	5
cds2197	121	561	516	325	100	115
cds2198	4	137	90	75	19	2
cds2199	129	773	876	436	61	152
cds22	26	145	99	86	26	2
cds220	84	117	124	62	96	59
cds2200	10	62	63	24	13	15
cds2201	135	254	185	91	122	141
cds2202	274	910	780	396	232	355
cds2203	2	50	29	18	5	10
cds2204	31	234	234	69	35	28
cds2205	892	1153	1175	819	801	1293
cds2206	19	89	86	87	23	4
cds2207	42	113	115	96	15	28
cds2208	9	63	75	22	15	18
cds2209	63	109	78	47	30	70
cds221	163	883	863	304	281	210
cds2210	14	22	40	16	7	9
cds2211	40	98	106	95	30	47
cds2212	27	115	70	61	3	2
cds2213	7	4	9	8	5	6
cds2214	170	481	346	206	273	311
cds2215	181	722	565	238	105	156
cds2216	98	92	83	46	74	77
cds2217	24	38	41	14	32	40
cds2218	12	16	13	4	0	9
cds2219	16	13	3	8	14	29
cds222	175	487	279	176	144	133
cds2220	4	12	13	7	12	20
cds2221	22	18	3	5	17	10
cds2222	53	15	23	9	17	17
cds2223	15	13	23	12	3	3
cds2224	38	50	31	33	36	36
cds2225	175	694	571	328	159	126
cds2226	26	122	67	52	19	70
cds2227	0	0	0	1	8	2
cds2228	1279	926	792	398	1432	1329
cds2229	785	394	265	214	1155	958
cds223	58	303	153	130	34	79
cds2230	25	101	95	34	29	23
cds2231	14	139	95	42	11	16
cds2232	76	140	88	32	104	90
cds2233	2	32	32	17	4	2
cds2234	71	165	105	53	95	95
cds2235	13	37	28	16	9	14
cds2236	219	1149	1048	617	219	390
cds2237	53	251	235	155	35	56
cds2238	45	114	115	83	33	8
cds2239	6	59	26	18	26	11
cds224	88	677	549	338	63	100
cds2240	131	163	128	122	159	234
cds2241	51	268	212	156	72	123
cds2242	0	0	0	0	0	5
cds2243	240	130	84	57	315	211
cds2244	118	321	270	105	142	136
cds2245	3	7	3	1	3	0
cds2246	67	241	139	119	62	95
cds2247	38	72	33	28	19	24
cds2248	13	81	52	31	9	25
cds2249	16	52	51	10	21	64
cds225	61	165	101	61	28	32
cds2250	1088	866	581	305	966	1042
cds2251	242	223	72	44	201	216
cds2252	12	71	57	17	14	27
cds2253	80	253	74	55	49	65
cds2254	26	110	117	35	24	30
cds2255	46	49	67	40	29	61
cds2256	171	427	433	202	160	177
cds2257	35	221	187	57	40	47
cds2258	14	69	32	33	31	27
cds2259	33	26	10	6	27	27
cds226	35	239	179	98	8	33
cds2260	186	1181	595	409	211	272
cds2261	65	73	33	22	99	84
cds2262	26	67	20	10	2	9
cds2263	35	149	122	50	47	29
cds2264	53	53	41	19	57	59
cds2265	126	124	56	21	131	135
cds2266	266	368	277	151	374	360
cds2267	185	506	402	222	240	238
cds2268	407	2606	2307	1375	338	497
cds2269	1	75	91	49	6	1
cds227	25	51	45	20	14	19
cds2270	348	740	378	230	230	373
cds2271	57	115	71	39	28	23
cds2272	33	278	255	144	25	39
cds2273	185	268	183	120	224	227
cds2274	213	908	879	494	165	178
cds2275	16	53	77	54	25	41
cds2276	64	57	15	25	40	50
cds2277	3755	4095	3758	2627	1658	1891
cds2278	56	89	108	57	40	49
cds2279	4	13	3	4	10	3
cds228	74	121	54	49	28	102
cds2280	405	600	520	268	359	330
cds2281	82	402	404	278	179	271
cds2282	46	170	178	84	32	90
cds2283	36	23	41	14	38	29
cds2284	312	1148	917	383	400	465
cds2285	770	19623	23646	16163	463	791
cds2286	8	10	2	5	14	16
cds2287	124	375	210	118	80	114
cds2288	2	30	19	14	0	4
cds2289	31	179	160	103	57	76
cds229	115	85	23	18	131	103
cds2290	50	416	400	216	31	27
cds2291	53	356	359	163	48	82
cds2292	102	55	14	40	62	91
cds2293	667	2192	2081	875	570	628
cds2294	1251	1961	1294	398	2704	1851
cds2295	80	575	403	157	18	74
cds2296	87	427	257	94	95	118
cds2297	264	872	539	246	245	161
cds2298	16	169	66	41	24	26
cds2299	22	163	90	35	39	27
cds23	127	360	213	134	79	88
cds230	97	53	56	20	59	37
cds2300	117	512	283	128	91	76
cds2301	50	135	90	47	48	41
cds2302	26	42	46	11	9	52
cds2303	83	123	71	42	89	94
cds2304	106	220	140	88	89	88
cds2305	5	38	33	13	26	28
cds2306	88	2	6	5	55	81
cds2307	661	57	44	29	282	415
cds2308	245	1525	1496	611	225	358
cds2309	1	1	0	0	0	0
cds231	332	266	197	111	365	383
cds2310	89	379	451	114	78	76
cds2311	30	128	81	89	121	62
cds2312	483	140	97	46	344	417
cds2313	356	198	110	146	395	349
cds2314	47	132	81	72	29	35
cds2315	153	916	1063	502	114	113
cds2316	107	393	371	217	111	123
cds2317	61	43	23	26	110	118
cds2318	16	129	76	52	13	20
cds2319	109	685	815	443	97	98
cds232	297	374	69	47	260	326
cds2320	255	1132	591	315	145	308
cds2321	22	180	138	72	46	54
cds2322	104	412	315	117	126	208
cds2323	84	393	388	198	32	100
cds2324	446	1031	714	570	902	768
cds2325	2465	1490	811	976	6288	4272
cds2326	1448	23266	20863	12150	957	1880
cds2327	407	15796	15857	9515	277	705
cds2328	38	903	768	528	62	147
cds2329	101	1950	2242	1245	97	176
cds233	161	962	829	466	107	130
cds2330	124	2512	2839	1418	54	231
cds2331	359	5268	6855	4032	312	790
cds2332	2	75	42	19	1	0
cds2333	3	118	98	39	12	9
cds2334	385	5337	5589	3439	405	955
cds2335	34	29	8	1	39	19
cds2336	1522	628	497	211	2326	1971
cds2337	52	317	263	85	80	100
cds2338	0	0	0	0	0	4
cds2339	13	27	12	2	37	54
cds234	112	774	747	382	127	137
cds2340	320	963	1595	901	380	532
cds2341	197	34	24	14	247	287
cds2342	231	935	984	499	175	216
cds2343	323	52	47	21	342	434
cds2344	71	73	62	20	64	47
cds2345	1	0	2	5	0	11
cds2346	18	7	6	3	24	27
cds2347	193	35	5	20	156	95
cds2348	32	75	56	38	38	98
cds2349	224	812	737	309	243	241
cds235	63	492	442	280	105	146
cds2350	58	83	53	74	40	55
cds2351	96	30	38	20	46	70
cds2352	222	1748	1958	877	261	276
cds2353	6	5	14	0	0	0
cds2354	3	3	6	1	3	3
cds2355	129	146	113	68	70	82
cds2356	18	64	43	46	11	8
cds2357	58	161	114	71	30	114
cds2358	22	51	32	51	15	18
cds2359	30	221	200	90	44	46
cds236	257	857	602	402	186	227
cds2360	63	109	80	41	55	71
cds2361	13	54	70	27	23	24
cds2362	188	2679	3623	1901	140	214
cds2363	413	1175	1521	673	526	577
cds2364	15	161	174	84	17	12
cds2365	22	161	173	137	21	19
cds2366	6	16	13	15	1	0
cds2367	11	130	169	102	30	38
cds2368	34	287	237	130	22	35
cds2369	77	79	21	22	22	51
cds237	16	106	148	91	5	9
cds2370	1190	1224	574	314	708	817
cds2371	60	422	249	141	51	61
cds2372	95	505	417	196	114	188
cds2373	159	814	826	539	342	335
cds2374	82	898	759	438	53	78
cds2375	20	305	314	151	3	9
cds2376	71	145	98	58	46	59
cds2377	108	208	229	109	76	140
cds2378	12	100	56	38	22	16
cds2379	6	4	3	0	13	4
cds238	926	4801	4329	2424	513	464
cds2380	197	174	59	59	206	255
cds2381	94	80	48	32	63	111
cds2382	531	499	350	172	724	727
cds2383	103	55	41	26	36	56
cds2384	180	353	122	87	257	318
cds2385	0	0	0	1	1	0
cds2386	0	0	3	0	0	0
cds2387	353	413	324	204	519	550
cds2388	98	317	236	102	79	96
cds2389	40	58	36	11	54	72
cds239	4020	14881	13609	6513	1787	2085
cds2390	22	70	18	30	30	18
cds2391	10	30	20	13	11	17
cds2392	201	215	74	55	177	144
cds2393	11	125	97	49	25	10
cds2394	284	247	152	100	182	250
cds2395	76	163	72	52	79	90
cds2396	2	168	185	182	11	5
cds2397	4	321	424	308	3	22
cds2398	27	846	1180	595	0	52
cds2399	212	195	260	116	115	234
cds24	6	10	0	0	0	9
cds240	168	386	246	174	128	270
cds2400	14	22	8	6	27	25
cds2401	1135	5112	5411	2215	749	1064
cds2402	214	346	109	98	295	259
cds2403	39	214	290	164	20	12
cds2404	3	10	5	3	10	4
cds2405	1	1	0	7	5	15
cds2406	99	591	335	159	88	98
cds2407	51	595	439	169	9	40
cds2408	130	680	440	204	58	139
cds2409	13	90	86	20	5	13
cds241	79	70	55	45	78	98
cds2410	0	3	0	1	0	0
cds2411	2749	7046	6011	3065	2466	3046
cds2412	349	694	266	115	374	428
cds2413	121	319	188	126	72	105
cds2414	0	0	3	1	0	0
cds2415	0	1	0	0	0	0
cds2416	36	4	3	0	54	50
cds2417	117	100	57	24	94	177
cds2418	85	103	57	21	111	166
cds2419	10	15	21	11	3	3
cds242	143	168	128	104	186	187
cds2420	7	35	52	10	17	13
cds2421	57	134	59	47	17	40
cds2422	49	114	59	36	50	81
cds2423	11	26	13	5	11	7
cds2424	11	34	29	10	9	21
cds2425	7	70	54	26	8	22
cds2426	11	36	20	30	16	29
cds2427	0	0	0	0	0	0
cds2428	19	52	27	9	36	31
cds2429	73	155	50	31	92	153
cds243	95	353	299	178	78	103
cds2430	44	46	12	7	52	59
cds2431	37	176	40	37	130	169
cds2432	233	242	139	95	222	388
cds2433	52	16	2	13	24	17
cds2434	24	9	7	4	35	34
cds2435	136	103	94	29	97	148
cds2436	0	4	5	1	0	2
cds2437	13	14	5	6	11	5
cds2438	437	351	229	105	454	330
cds2439	94	68	44	13	69	97
cds244	17	52	64	37	11	29
cds2440	48	38	47	23	63	76
cds2441	53	63	15	8	14	89
cds2442	25	98	46	33	37	54
cds2443	87	345	315	177	60	91
cds2444	11	11	2	2	2	13
cds2445	26	48	17	8	35	27
cds2446	47	86	19	14	52	86
cds2447	0	0	0	0	0	0
cds2448	2	1	0	0	3	0
