	S763_vitro_1	S763_vitro_2	S763_col_1	S763_col_2	S763_vitro_3	S763_col_3
cds1713	36	129	0	10	35	17
cds1714	71	257	0	3	30	41
cds1715	20	69	0	0	35	10
cds1716	7	41	0	0	15	12
cds1717	0	12	0	0	25	2
cds1718	17	45	5	12	81	6
cds1719	38	10	0	16	66	7
cds172	434	424	55	11	1062	176
cds1720	191	43	22	15	380	39
cds1721	52	13	42	35	55	78
cds1722	33	18	0	8	53	7
cds1723	15	18	16	10	22	17
cds1724	12	1	0	0	14	11
cds1725	19	24	4	6	73	23
cds1726	54	73	0	0	156	27
cds1727	8	13	43	6	34	40
cds1728	24	44	0	0	67	8
cds1729	18	0	14	0	3	20
cds173	94	49	54	41	213	38
cds1730	277	312	299	540	447	722
cds1731	0	0	0	0	0	0
cds1732	23	44	13	44	105	20
cds1733	24	52	7	5	68	39
cds1734	2	0	15	0	6	4
cds1735	0	2	0	2	7	8
cds1736	0	4	22	29	3	30
cds1737	181	227	48	39	477	93
cds1738	823	1023	130	198	2165	206
cds1739	486	506	25	43	1161	29
cds174	316	262	11	19	576	18
cds1740	10	18	215	351	9	600
cds1741	35	42	11	14	80	37
cds1742	188	256	29	24	472	46
cds1743	25	3	0	0	7	16
cds1744	29	21	0	10	22	22
cds1745	212	246	389	802	352	281
cds1746	25	31	0	28	47	3
cds1747	723	719	405	639	1845	529
cds1748	332	291	156	189	728	454
cds1749	179	150	92	65	469	140
cds175	33	31	9	19	154	57
cds1750	570	718	124	253	1263	476
cds1751	446	540	169	226	1020	164
cds1752	798	784	50	71	1931	84
cds1753	165	185	17	17	412	25
cds1754	349	336	81	55	827	74
cds1755	0	0	0	0	7	8
cds1756	0	0	0	0	5	0
cds1757	1	3	0	0	1	11
cds1758	27	16	143	202	31	479
cds1759	354	422	83	114	836	178
cds176	2044	2865	365	394	4082	639
cds1760	0	0	0	0	3	0
cds1761	61	153	12	9	164	51
cds1762	105	171	10	39	459	47
cds1763	417	430	60	108	1149	77
cds1764	88	72	4	2	166	20
cds1765	2	9	40	14	13	95
cds1766	69	83	14	49	194	73
cds1767	48	47	0	0	62	9
cds1768	20	30	29	28	31	9
cds1769	28	41	46	18	36	54
cds177	243	247	21	55	529	147
cds1770	121	111	222	406	199	991
cds1771	5	9	11	7	20	39
cds1772	9	5	48	71	27	104
cds1773	0	9	0	0	8	13
cds1774	48	55	25	8	163	29
cds1775	1052	933	140	229	1629	332
cds1776	126	83	41	26	211	36
cds1777	170	204	0	11	436	40
cds1778	52	99	0	3	249	11
cds1779	73	75	0	8	312	21
cds178	555	446	165	280	1096	312
cds1780	64	95	41	30	91	24
cds1781	22	25	0	7	66	76
cds1782	233	157	92	178	549	97
cds1783	158	163	45	38	427	32
cds1784	5	3	0	0	26	14
cds1785	2	1	36	3	2	21
cds1786	11	29	18	7	88	6
cds1787	19	11	11	0	97	33
cds1788	59	71	15	24	129	49
cds1789	88	168	62	81	289	139
cds179	24	37	20	5	90	26
cds1790	38	36	16	48	156	36
cds1791	185	180	19	11	589	59
cds1792	26	27	0	0	84	2
cds1793	81	80	0	4	311	18
cds1794	101	137	19	14	413	46
cds1795	13	23	3	0	8	5
cds1796	49	32	0	0	107	25
cds1797	23	36	0	6	38	39
cds1798	214	324	68	69	483	123
cds1799	61	93	7	3	159	58
cds18	805	1000	46	100	1604	181
cds180	35	31	16	52	94	36
cds1800	36	29	0	7	93	5
cds1801	3	8	356	382	6	555
cds1802	23	16	24	22	14	65
cds1803	41	42	9	28	140	59
cds1804	465	555	34	47	1075	100
cds1805	30	40	21	22	153	22
cds1806	64	124	56	30	147	70
cds1807	22	27	65	85	76	19
cds1808	49	58	0	0	88	25
cds1809	862	757	16	35	1925	39
cds181	96	70	0	65	198	52
cds1810	67	48	0	0	193	15
cds1811	34	49	0	0	59	0
cds1812	19	41	0	9	115	8
cds1813	181	200	0	0	467	1
cds1814	35	85	9	0	176	10
cds1815	78	111	25	31	162	60
cds1816	18	14	15	0	44	20
cds1817	73	160	209	228	338	213
cds1818	1	7	0	0	9	4
cds1819	5	17	0	0	4	3
cds182	224	258	24	65	779	53
cds1820	0	0	0	0	3	0
cds1821	35	73	8	4	121	45
cds1822	79	89	59	22	225	53
cds1823	675	506	42	117	1699	121
cds1824	4884	3387	288	442	5160	685
cds1825	2088	1618	135	228	4655	292
cds1826	537	402	3	18	1233	102
cds1827	84	67	18	56	264	43
cds1828	2006	1705	219	242	3881	197
cds1829	149	216	62	60	537	93
cds183	5	13	0	6	2	15
cds1830	28	15	0	0	81	20
cds1831	24	54	20	13	132	24
cds1832	0	1	0	0	0	8
cds1833	28	26	19	47	71	50
cds1834	203	247	22	26	666	55
cds1835	124	129	20	19	524	41
cds1836	1170	1316	74	131	3632	235
cds1837	73	62	145	202	113	229
cds1838	144	174	62	71	371	56
cds1839	82	65	28	29	195	24
cds184	6	5	10	0	8	15
cds1840	29	16	0	8	88	1
cds1841	17	32	36	112	41	41
cds1842	765	869	97	79	4254	157
cds1843	36	50	15	39	114	62
cds1844	10	4	0	8	40	24
cds1845	18	15	0	7	2	0
cds1846	17	11	0	0	13	0
cds1847	443	369	42	20	644	54
cds1848	252	227	4	37	469	131
cds1849	116	196	33	20	383	41
cds185	0	2	10	1	3	0
cds1850	2	12	0	0	7	25
cds1851	0	0	0	0	8	0
cds1852	1492	1766	220	296	3215	704
cds1853	42	75	15	36	177	40
cds1854	4	22	0	7	28	6
cds1855	324	254	39	101	432	111
cds1856	332	229	18	42	481	112
cds1857	7	7	13	6	5	6
cds1858	30	20	6	7	68	11
cds1859	537	565	17	19	1052	69
cds186	16	15	0	0	42	3
cds1860	32	24	0	0	81	24
cds1861	81	123	11	27	200	25
cds1862	20	25	0	0	60	11
cds1863	2998	2983	210	193	6707	312
cds1864	2839	3042	743	971	3951	1401
cds1865	979	1404	419	597	1974	628
cds1866	867	790	173	262	2156	465
cds1867	214	156	103	97	223	276
cds1868	12	5	4	16	29	10
cds1869	1115	1054	165	144	2373	329
cds187	0	0	0	0	0	0
cds1870	22	58	6	27	113	48
cds1871	110	121	63	33	236	104
cds1872	19	16	0	0	57	3
cds1873	8	14	0	0	10	0
cds1874	8	25	0	0	22	1
cds1875	9	9	0	0	32	8
cds1876	1257	1133	138	215	2522	142
cds1877	313	310	6	22	672	85
cds1878	24	52	8	4	114	0
cds1879	32	25	0	0	54	2
cds188	7	2	31	47	11	67
cds1880	72	43	51	24	102	62
cds1881	740	1245	126	81	2516	174
cds1882	20	2	0	4	42	0
cds1883	160	71	0	3	231	12
cds1884	1283	1375	25	22	2503	45
cds1885	149	195	0	6	565	12
cds1886	194	214	78	102	598	77
cds1887	84	73	6	5	289	40
cds1888	598	554	119	222	1423	278
cds1889	294	361	89	78	958	166
cds189	143	185	21	49	256	117
cds1890	396	410	39	60	880	107
cds1891	281	257	61	69	761	92
cds1892	88	103	26	23	222	30
cds1893	26	13	0	0	77	3
cds1894	85	128	94	79	184	110
cds1895	7	0	5	10	1	10
cds1896	2	1	0	0	18	0
cds1897	10	8	0	1	17	9
cds1898	155	175	293	552	312	649
cds1899	115	166	6	53	326	54
cds19	25	11	5	9	33	24
cds190	24	19	4	16	23	12
cds1900	80	56	12	33	160	25
cds1901	47	77	99	123	141	297
cds1902	17	45	21	0	20	41
cds1903	34	86	34	46	82	64
cds1904	11	19	9	17	34	23
cds1905	8	0	0	0	0	2
cds1906	2	0	9	0	7	0
cds1907	34	71	8	27	80	67
cds1908	17	37	0	1	62	10
cds1909	8	6	0	11	18	45
cds191	53	587	194	221	188	212
cds1910	873	1223	238	401	2239	504
cds1911	302	338	40	73	653	133
cds1912	4415	4896	919	1542	7494	1522
cds1913	1086	1171	131	199	1932	342
cds1914	26	27	15	22	29	13
cds1915	0	18	11	13	2	5
cds1916	17	18	6	0	65	19
cds1917	1	0	25	0	29	19
cds1918	30	57	0	6	99	16
cds1919	274	222	45	7	828	51
cds192	2	5	0	4	6	1
cds1920	15	27	9	9	31	41
cds1921	3	16	0	7	4	0
cds1922	10	12	12	0	31	43
cds1923	4	0	20	3	35	28
cds1924	16	20	0	1	68	12
cds1925	21	25	9	9	58	33
cds1926	31	14	19	32	26	35
cds1927	22	16	18	1	54	0
cds1928	4	7	9	7	11	20
cds1929	63	66	94	89	185	66
cds193	30	81	10	5	29	39
cds1930	93	159	25	21	185	40
cds1931	8	12	0	0	5	0
cds1932	4	7	1	2	16	16
cds1933	3	6	0	0	2	0
cds1934	79	155	25	17	246	43
cds1935	0	5	10	38	5	11
cds1936	38	57	0	0	87	20
cds1937	42	68	0	12	93	25
cds1938	3	16	11	38	10	22
cds1939	57	72	52	92	94	35
cds194	0	2	0	0	0	0
cds1940	7	3	0	12	16	52
cds1941	5	7	6	14	28	3
cds1942	11	13	17	17	27	21
cds1943	240	243	118	79	587	231
cds1944	104	199	10	28	322	94
cds1945	9	11	0	22	43	28
cds1946	19	29	0	0	58	0
cds1947	15	14	0	5	45	9
cds1948	225	330	15	12	885	8
cds1949	632	687	28	31	1360	70
cds195	8	29	0	7	13	2
cds1950	12	0	9	14	0	16
cds1951	2	2	1	12	9	28
cds1952	4	0	0	0	1	0
cds1953	6	18	0	0	23	6
cds1954	1340	1589	290	201	6221	567
cds1955	1	8	8	6	50	42
cds1956	23	12	0	9	33	2
cds1957	0	1	10	13	3	0
cds1958	11	23	172	141	16	396
cds1959	4	7	3	14	4	15
cds196	5	10	10	0	5	6
cds1960	5	42	39	96	18	77
cds1961	11	2	7	0	29	25
cds1962	12	57	0	10	80	19
cds1963	12	9	18	0	29	19
cds1964	10	20	0	3	17	0
cds1965	5	18	7	11	20	31
cds1966	60	196	15	113	92	60
cds1967	21	37	55	40	79	28
cds1968	58	39	0	8	155	18
cds1969	28	19	5	19	22	17
cds197	2	19	0	0	0	0
cds1970	9	1	0	6	19	2
cds1971	40	16	10	16	54	22
cds1972	757	890	120	156	1001	245
cds1973	73	55	0	25	157	2
cds1974	0	0	0	0	10	0
cds1975	1087	1253	330	337	2180	395
cds1976	1678	1636	96	81	3207	99
cds1977	1527	1352	81	106	2255	144
cds1978	371	418	54	30	1047	67
cds1979	753	911	110	105	2286	216
cds198	2	5	12	22	5	0
cds1980	157	309	39	59	626	123
cds1981	711	1138	50	30	957	117
cds1982	460	797	136	101	767	269
cds1983	44	74	24	82	94	90
cds1984	1556	1839	260	238	2666	278
cds1985	137	127	112	66	262	212
cds1986	134	145	54	61	288	105
cds1987	55	67	11	50	122	60
cds1988	1048	964	556	788	1102	1133
cds1989	228	1065	0	19	424	41
cds199	46	49	11	4	139	8
cds1990	252	1414	0	4	338	27
cds1991	7	159	0	16	66	14
cds1992	99	489	18	14	236	33
cds1993	69	78	14	44	116	64
cds1994	12	10	0	1	21	3
cds1995	1	0	0	7	7	0
cds1996	15	13	20	34	59	31
cds1997	7	19	15	0	41	29
cds1998	0	0	0	0	7	4
cds1999	21	42	10	0	87	0
cds2	923	923	683	907	1576	938
cds20	46	23	17	5	112	41
cds200	32	22	0	15	42	23
cds2000	12	2	6	33	6	43
cds2001	7	0	21	8	1	8
cds2002	0	0	8	5	7	5
cds2003	3	1	20	10	5	28
cds2004	2	9	9	0	28	7
cds2005	250	948	9	0	970	23
cds2006	112	743	31	15	889	46
cds2007	100	673	10	0	693	27
cds2008	480	2640	7	16	3469	69
cds2009	584	3005	28	31	4324	70
cds201	29	37	0	27	46	20
cds2010	89	271	11	0	574	4
cds2011	58	96	11	0	475	24
cds2012	7	5	0	1	55	18
cds2013	7	5	41	20	20	7
cds2014	29	36	0	0	78	39
cds2015	8	8	15	0	10	3
cds2016	3	3	0	11	10	31
cds2017	2	1	5	22	0	3
cds2018	0	0	9	6	0	7
cds2019	152	53	31	0	180	8
cds202	6	18	22	35	20	0
cds2020	0	1	13	0	10	0
cds2021	128	185	11	31	546	78
cds2022	6	1	13	11	13	19
cds2023	0	7	0	4	4	21
cds2024	14	17	5	18	8	30
cds2025	20	53	6	19	112	74
cds2026	93	92	85	46	168	54
cds2027	2	5	0	0	21	9
cds2028	32	45	24	5	107	78
cds2029	133	72	0	0	290	27
cds203	10	41	6	23	35	21
cds2030	14	19	0	14	63	34
cds2031	35	47	10	25	50	28
cds2032	5	2	4	0	6	7
cds2033	11	1	0	11	23	7
cds2034	0	18	10	8	33	0
cds2035	2	23	39	15	17	44
cds2036	10	32	9	0	35	65
cds2037	1	10	0	9	7	17
cds2038	11	9	0	3	17	1
cds2039	5	0	10	0	11	1
cds204	7	7	0	11	11	17
cds2040	1	16	7	5	7	24
cds2041	80	110	139	87	193	145
cds2042	20	10	0	0	15	12
cds2043	0	2	0	7	5	0
cds2044	133	230	5	31	140	70
cds2045	288	1113	135	174	399	376
cds2046	80	82	21	45	183	50
cds2047	1	5	0	11	16	8
cds2048	126	85	104	72	178	108
cds2049	82	31	36	80	158	121
cds205	1363	1542	370	411	3715	1105
cds2050	0	1	16	8	9	11
cds2051	13	6	0	7	11	5
cds2052	3	28	11	7	4	15
cds2053	4	1	0	4	5	10
cds2054	33	39	0	0	49	19
cds2055	111	118	80	113	149	170
cds2056	9	12	0	11	48	8
cds2057	301	222	49	72	534	31
cds2058	9	10	0	0	1	6
cds2059	4	54	0	18	47	3
cds206	12	11	25	1	16	40
cds2060	368	494	119	206	705	109
cds2061	441	475	29	33	642	68
cds2062	10	27	0	0	52	28
cds2063	11	4	0	4	22	40
cds2064	221	434	89	43	665	96
cds2065	26	152	12	32	186	72
cds2066	0	2	0	0	4	0
cds2067	50	50	10	14	78	38
cds2068	57	671	73	112	310	256
cds2069	22	34	27	36	59	68
cds207	15	26	0	26	74	33
cds2070	48	107	3	31	220	89
cds2071	61	43	8	0	180	77
cds2072	17	25	12	19	49	12
cds2073	53	59	40	75	62	43
cds2074	14	23	0	0	31	5
cds2075	11	5	0	0	12	12
cds2076	29	38	0	0	40	64
cds2077	7	4	0	11	6	11
cds2078	5	18	13	6	12	10
cds2079	20	13	0	14	27	1
cds208	8	1	7	4	15	3
cds2080	21	19	8	18	39	8
cds2081	6	4	0	0	5	6
cds2082	8	15	0	0	26	5
cds2083	3	0	0	0	20	0
cds2084	26	15	0	0	10	2
cds2085	4	5	0	0	8	0
cds2086	0	24	0	11	39	13
cds2087	11	21	10	0	34	4
cds2088	47	33	25	21	134	33
cds2089	0	7	15	0	20	0
cds209	116	141	49	22	259	14
cds2090	40	13	0	0	31	0
cds2091	16	13	8	9	25	5
cds2092	184	201	34	33	193	34
cds2093	196	425	91	108	1064	127
cds2094	1019	535	62	129	3728	138
cds2095	1800	798	166	131	4226	325
cds2096	50	30	10	14	94	0
cds2097	1053	827	242	275	1727	328
cds2098	78	102	1	9	194	52
cds2099	90	66	9	35	133	40
cds21	160	237	39	45	419	72
cds210	17	168	19	21	53	66
cds2100	157	237	26	49	444	117
cds2101	285	293	55	31	569	48
cds2102	172	179	43	28	618	19
cds2103	12	20	8	0	16	8
cds2104	31	24	0	7	65	8
cds2105	6	34	5	0	38	23
cds2106	5	18	4	17	16	0
cds2107	33	40	0	0	95	1
cds2108	25	17	13	0	72	3
cds2109	139	137	82	26	256	73
cds211	33	546	93	169	94	235
cds2110	95	114	6	32	262	12
cds2111	89	95	27	17	305	33
cds2112	0	14	0	9	14	6
cds2113	33	38	9	0	61	8
cds2114	22	13	0	0	52	4
cds2115	275	272	191	190	623	329
cds2116	75	77	28	81	201	43
cds2117	60	50	18	12	153	33
cds2118	24	35	27	0	42	25
cds2119	38	88	68	115	132	144
cds212	18	28	0	0	7	24
cds2120	786	823	46	81	1366	242
cds2121	216	239	42	51	568	60
cds2122	138	135	39	48	458	89
cds2123	193	231	50	25	565	102
cds2124	29	15	0	3	127	21
cds2125	86	107	0	11	341	29
cds2126	73	67	23	6	119	23
cds2127	1	0	0	0	8	9
cds2128	51	46	34	44	133	44
cds2129	168	191	44	76	281	171
cds213	71	38	0	11	164	45
cds2130	28	33	149	183	72	336
cds2131	38	53	236	290	118	118
cds2132	1	9	0	11	3	0
cds2133	140	123	35	20	325	50
cds2134	1291	1567	119	44	3208	120
cds2135	105	164	0	23	270	16
cds2136	9	24	0	8	28	4
cds2137	267	227	8	12	525	33
cds2138	158	178	31	57	662	75
cds2139	12	16	0	0	17	16
cds214	20	151	9	0	90	105
cds2140	83	88	24	59	215	52
cds2141	134	161	25	36	381	99
cds2142	1277	1003	109	206	2417	324
cds2143	28	10	4	14	40	1
cds2144	71	165	0	0	253	16
cds2145	245	580	20	0	714	0
cds2146	28	50	0	0	85	0
cds2147	13	27	0	0	60	0
cds2148	125	241	0	4	389	12
cds2149	27	87	6	0	170	0
cds215	26	304	18	11	64	39
cds2150	64	248	0	4	352	4
cds2151	217	588	1	0	444	1
cds2152	284	1314	9	0	950	22
cds2153	31	1848	0	41	232	22
cds2154	43	949	6	0	221	4
cds2155	11	117	11	11	69	8
cds2156	66	40	19	6	102	41
cds2157	97	124	61	67	274	61
cds2158	296	375	211	245	685	409
cds2159	9	16	0	8	37	35
cds216	25	166	0	29	42	26
cds2160	9	16	1	10	46	9
cds2161	50	28	1	15	144	15
cds2162	19	28	12	26	58	58
cds2163	2	4	0	5	9	10
cds2164	17	18	32	27	37	59
cds2165	1645	1560	221	286	3026	424
cds2166	105	96	18	17	263	35
cds2167	15	23	0	7	40	9
cds2168	2877	3361	252	348	5380	261
cds2169	195	193	19	43	410	58
cds217	70	1638	208	514	313	592
cds2170	17	125	27	23	56	20
cds2171	25	50	0	20	40	10
cds2172	19	65	9	0	107	17
cds2173	176	165	6	38	398	22
cds2174	496	682	85	102	1328	247
cds2175	41	27	3	7	128	40
cds2176	242	232	12	30	594	50
cds2177	149	117	23	39	341	12
cds2178	19	27	21	23	107	22
cds2179	59	71	4	20	200	36
cds218	205	270	11	12	590	70
cds2180	552	853	12	24	938	32
cds2181	612	747	44	154	1510	117
cds2182	190	288	19	35	460	24
cds2183	670	514	158	183	1385	469
cds2184	7	18	0	0	19	0
cds2185	589	767	133	118	1874	311
cds2186	224	249	48	57	408	99
cds2187	174	107	0	9	342	20
cds2188	16	9	0	0	37	10
cds2189	745	679	73	44	2063	105
cds219	42	76	14	6	188	42
cds2190	11	10	0	0	39	10
cds2191	6	4	0	6	7	0
cds2192	6	9	31	9	35	19
cds2193	8	6	0	0	1	9
cds2194	14	35	0	0	51	2
cds2195	67	69	0	29	153	49
cds2196	4701	4490	103	161	13310	206
cds2197	448	540	12	35	957	52
cds2198	28	26	0	6	58	7
cds2199	2577	3303	467	586	4980	476
cds22	82	58	6	4	214	55
cds220	35	278	23	24	126	70
cds2200	409	345	52	100	786	122
cds2201	916	1514	162	241	2408	105
cds2202	25	21	0	6	75	0
cds2203	199	145	0	13	668	54
cds2204	28	23	0	0	93	0
cds2205	80	88	23	0	439	29
cds2206	43	24	12	27	115	4
cds2207	944	1032	77	68	2118	227
cds2208	66	83	0	0	280	11
cds2209	23	7	4	17	53	22
cds221	5	34	0	0	10	10
cds2210	398	686	44	120	1563	72
cds2211	161	315	39	32	1209	13
cds2212	488	450	75	66	1711	47
cds2213	108	92	3	4	408	4
cds2214	454	404	19	37	1353	43
cds2215	1275	920	69	88	3740	97
cds2216	55	40	0	10	215	8
cds2217	17	19	21	6	57	9
cds2218	163	212	0	8	404	29
cds2219	265	221	29	40	641	73
cds222	83	641	100	135	203	139
cds2220	151	194	11	14	390	42
cds2221	210	231	11	21	705	33
cds2222	16	38	27	18	85	55
cds2223	6	2	0	0	13	4
cds2224	15	15	0	6	17	39
cds2225	17	10	0	21	28	15
cds2226	0	0	0	2	19	3
cds2227	36	97	33	21	145	39
cds2228	44	48	30	20	94	26
cds2229	108	166	123	85	309	80
cds223	458	3079	472	740	857	967
cds2230	96	76	18	37	74	35
cds2231	1170	389	410	495	927	621
cds2232	143	256	288	188	246	244
cds2233	146	294	527	494	236	651
cds2234	686	765	47	97	2143	239
cds2235	22	26	7	0	36	0
cds2236	7	4	0	0	15	1
cds2237	5	26	0	4	10	1
cds2238	35	39	0	7	84	0
cds2239	4432	3873	156	119	7489	335
cds224	717	7442	841	1286	1401	2644
cds2240	32	14	0	1	42	5
cds2241	859	979	83	115	1909	138
cds2242	187	201	25	26	428	26
cds2243	104	151	0	9	345	16
cds2244	50	80	6	1	84	16
cds2245	488	318	42	55	1063	126
cds2246	242	195	1	80	497	26
cds2247	10	26	0	5	45	6
cds2248	294	364	85	95	941	109
cds2249	639	465	196	112	1409	182
cds225	42	20	32	33	56	42
cds2250	93	61	17	25	161	23
cds2251	219	234	39	34	535	52
cds2252	84	49	18	36	218	43
cds2253	245	266	43	113	587	108
cds2254	302	344	150	138	565	136
cds2255	490	440	356	336	945	503
cds2256	29	61	12	6	98	51
cds2257	11	20	9	15	59	0
cds2258	1	11	22	12	12	21
cds2259	1	11	0	2	16	11
cds226	19	0	0	8	21	14
cds2260	7	34	0	38	55	54
cds2261	69	101	9	12	148	49
cds2262	393	625	29	12	1009	73
cds2263	223	382	74	52	573	121
cds2264	180	252	34	83	511	121
cds2265	6152	7040	454	513	10681	785
cds2266	4468	5116	257	401	8929	458
cds2267	40	47	13	9	125	30
cds2268	46	58	0	5	121	12
cds2269	22	23	7	11	53	16
cds227	31	15	0	18	48	15
cds2270	5433	6844	366	787	9340	736
cds2271	5801	7419	409	570	10480	1161
cds2272	4751	5117	570	816	7490	765
cds2273	1888	2092	217	231	4258	397
cds2274	126	165	18	51	383	54
cds2275	1044	1142	370	549	1413	662
cds2276	13	19	0	0	15	0
cds2277	0	6	0	14	4	17
cds2278	3	4	0	2	8	0
cds2279	14	7	1	0	6	0
cds228	8	0	0	0	13	4
cds2280	96	61	8	11	155	44
cds2281	55	45	41	29	101	34
cds2282	130	144	41	41	226	108
cds2283	15	15	94	158	17	259
cds2284	0	0	0	5	10	27
cds2285	7	0	0	10	10	5
cds2286	17	9	12	0	20	10
cds2287	2	6	0	0	7	6
cds2288	45	99	21	19	92	48
cds2289	110	389	48	53	316	73
cds229	28	87	59	74	93	56
cds2290	73	52	7	7	89	2
cds2291	914	926	113	142	1641	298
cds2292	360	459	146	150	934	181
cds2293	193	227	34	35	504	70
cds2294	176	203	16	30	413	22
cds2295	93	79	24	12	245	12
cds2296	517	602	93	119	1583	241
cds2297	94	111	5	42	236	39
cds2298	196	277	63	70	523	182
cds2299	103	117	0	9	139	26
cds23	85	98	12	18	199	20
cds230	9	11	0	8	14	0
cds2300	124	208	56	38	251	25
cds2301	938	851	99	156	1097	264
cds2302	1113	942	208	299	1762	315
cds2303	326	278	232	372	466	430
cds2304	37	40	0	24	33	11
cds2305	66	65	86	144	172	195
cds2306	139	102	21	65	223	118
cds2307	53	79	30	23	138	59
cds2308	535	491	775	1003	878	713
cds2309	72	129	6	5	276	40
cds231	31	15	37	43	24	32
cds2310	46	64	14	8	105	50
cds2311	133	139	41	33	233	76
cds2312	45	59	25	15	89	45
cds2313	309	410	87	164	927	133
cds2314	172	156	22	28	367	17
cds2315	27	62	15	22	48	35
cds2316	4	14	7	15	3	14
cds2317	17	14	7	30	42	15
cds2318	66	71	0	1	131	7
cds2319	14	36	0	11	130	8
cds232	24	21	25	26	16	22
cds2320	290	262	110	221	695	294
cds2321	6	15	3	0	6	1
cds2322	20	55	19	6	19	11
cds2323	0	0	0	6	0	0
cds2324	5	11	19	14	20	10
cds2325	7	4	0	6	1	3
cds2326	6	0	0	5	8	0
cds2327	3	0	12	0	4	5
cds2328	12	10	0	5	26	0
cds2329	3	4	0	0	11	11
cds233	17	13	0	6	61	39
cds2330	6	11	0	0	11	13
cds2331	0	3	0	2	10	21
cds2332	0	0	0	9	2	11
cds2333	30	31	4	13	53	26
cds2334	8	10	0	10	13	18
cds2335	2	0	12	0	4	12
cds2336	7	0	0	0	13	11
cds2337	0	0	0	0	1	0
cds2338	0	5	24	0	3	0
cds2339	0	0	4	0	0	4
cds234	5	35	12	17	35	19
cds2340	0	0	0	0	1	0
cds2341	0	1	0	14	2	0
cds2342	2	6	0	17	1	30
cds2343	0	3	0	2	4	7
cds2344	2	1	0	0	1	5
cds2345	6	0	10	0	2	7
cds2346	7	0	0	7	4	4
cds2347	8	23	8	8	6	5
cds2348	1	3	0	7	21	1
cds2349	44	45	9	1	100	3
cds235	35	38	11	8	55	30
cds2350	18	7	0	0	29	1
cds2351	109	122	26	60	238	75
cds2352	19	40	10	13	86	16
cds2353	16	11	6	7	31	6
cds2354	38	27	47	9	61	33
cds2355	26	24	0	0	91	31
cds2356	148	163	49	126	336	217
cds2357	14	14	8	16	24	24
cds2358	124	129	84	99	260	164
cds2359	123	258	80	135	389	174
cds236	5	7	0	0	26	16
cds2360	2149	2253	1174	1399	3184	1600
cds2361	243	244	17	73	487	64
cds2362	4	2	22	7	15	32
cds2363	4	0	0	0	7	13
cds2364	7	14	0	11	34	18
cds2365	23	59	55	55	46	69
cds2366	0	0	0	9	0	8
cds2367	160	164	24	10	443	59
cds2368	276	365	57	139	782	85
cds2369	206	359	61	109	642	86
cds237	22	17	0	0	51	0
cds2370	10	19	0	0	32	5
cds2371	349	816	138	144	851	177
cds2372	56	63	7	26	165	27
cds2373	7108	6311	518	679	10795	1141
cds2374	36	47	10	0	112	38
cds2375	39	70	17	9	105	3
cds2376	141	232	42	56	328	115
cds2377	8	22	0	0	78	13
cds2378	1152	526	77	95	2334	180
cds2379	0	1	13	0	1	0
cds238	21	34	51	28	104	23
cds2380	5	9	0	11	17	16
cds2381	24	27	15	0	96	12
cds2382	151	169	44	68	367	50
cds2383	22	19	0	0	55	19
cds2384	43	26	0	1	67	24
cds2385	19	32	5	12	54	0
cds2386	453	462	83	78	953	55
cds2387	145	76	49	36	310	140
cds2388	52	10	0	11	86	29
cds2389	32	29	21	33	113	40
cds239	145	281	52	70	241	230
cds2390	9	7	0	12	16	28
cds2391	5	10	0	0	47	19
cds2392	49	71	20	43	99	56
cds2393	762	645	172	200	1422	205
cds2394	4289	3530	482	963	6626	1208
cds2395	2510	2206	207	424	3915	540
cds2396	803	639	48	103	1724	180
cds2397	956	858	48	113	1507	217
cds2398	113	83	21	8	290	27
cds2399	279	334	0	31	717	50
cds24	150	203	13	23	484	28
cds240	184	158	45	27	248	82
cds2400	37	65	0	23	133	21
cds2401	140	122	42	29	289	24
cds2402	934	894	128	124	1920	176
cds2403	659	449	132	111	1219	187
cds2404	1627	1237	391	331	2386	370
cds2405	198	153	18	7	370	57
cds2406	426	374	17	66	832	89
cds2407	103	126	65	16	240	27
cds2408	18	55	13	33	79	15
cds2409	0	5	0	10	5	12
cds241	37	14	0	0	37	0
cds2410	63	34	5	10	98	0
cds2411	287	328	53	46	562	111
cds2412	208	216	28	97	500	85
cds2413	1901	1109	328	594	1436	634
cds2414	1979	2171	285	326	3623	730
cds2415	105	147	19	13	318	34
cds2416	123	153	15	40	240	55
cds2417	402	358	77	59	809	168
cds2418	160	142	8	15	400	78
cds2419	323	450	120	49	1046	115
cds242	1514	763	216	178	3713	269
cds2420	885	829	128	151	1790	153
cds2421	6	9	0	5	21	5
cds2422	39	53	10	19	47	11
cds2423	25	112	43	11	69	67
cds2424	20	24	14	23	29	0
cds2425	274	241	47	61	745	132
cds2426	24	37	0	3	63	0
cds2427	91	138	25	30	265	47
cds2428	153	99	47	30	379	86
cds2429	433	505	124	185	812	308
cds243	34	54	4	5	135	3
cds2430	21	11	0	0	40	11
cds2431	89	81	4	2	150	69
cds2432	0	3	0	0	15	1
cds2433	44	72	7	5	188	78
cds2434	7933	8358	233	354	12503	615
cds2435	134	158	5	62	370	34
cds2436	604	765	123	130	1724	279
cds2437	29	41	6	24	112	21
cds2438	74	159	54	80	260	118
cds2439	47	23	0	0	126	0
cds244	7	18	42	9	55	26
cds2440	335	687	27	20	1108	81
cds2441	0	0	0	1	5	16
cds2442	5	2	3	0	9	9
