	L187_col_1	L187_col_2	L187_vitro_1	L187_vitro_2	L187_vitro_3	L187_col_3
cds1175	17	84	12	19	99	160
cds1176	0	0	0	0	3	0
cds1177	0	0	1	0	2	0
cds1178	0	0	4	2	8	9
cds1179	0	0	2	0	3	0
cds118	0	0	1	2	11	0
cds1180	1	2	12	16	47	3
cds1181	0	1	3	0	1	11
cds1182	0	0	4	2	11	0
cds1183	0	0	14	2	22	1
cds1184	0	3	14	5	26	0
cds1185	0	4	0	0	6	0
cds1186	6	23	9	1	9	17
cds1187	0	0	0	1	2	0
cds1188	3	7	29	10	41	15
cds1189	3	0	0	3	8	0
cds119	0	4	4	10	41	4
cds1190	0	0	0	0	0	1
cds1191	0	4	0	0	0	0
cds1192	3	11	4	0	4	0
cds1193	3	4	0	0	5	10
cds1194	0	29	12	5	18	2
cds1195	0	0	1	0	1	0
cds1196	0	0	0	0	1	0
cds1197	6	12	67	32	134	19
cds1198	0	6	18	7	46	6
cds1199	6	15	44	10	27	10
cds12	0	0	0	0	3	0
cds120	0	0	1	1	10	0
cds1200	0	1	5	0	0	1
cds1201	0	3	2	0	5	1
cds1202	6	9	13	2	13	4
cds1203	0	0	1	3	0	14
cds1204	0	0	2	0	1	0
cds1205	0	0	2	0	0	0
cds1206	2	13	9	1	13	16
cds1207	0	0	0	0	7	0
cds1208	0	0	1	1	0	0
cds1209	0	2	5	0	7	0
cds121	0	0	2	0	12	0
cds1210	1	0	6	1	9	3
cds1211	0	3	4	2	6	0
cds1212	0	12	12	6	23	7
cds1213	0	0	3	3	25	0
cds1214	0	0	0	3	9	0
cds1215	0	0	1	1	6	0
cds1216	0	0	8	1	11	2
cds1217	4	11	1	3	4	0
cds1218	0	0	2	1	4	3
cds1219	2	16	17	1	19	12
cds122	0	0	0	0	5	0
cds1220	47	218	5	2	20	239
cds1221	0	0	2	0	4	0
cds1222	1	5	7	5	21	2
cds1223	0	0	1	2	5	0
cds1224	0	0	1	0	7	1
cds1225	0	0	0	0	0	0
cds1226	0	18	20	13	37	28
cds1227	0	0	1	1	7	0
cds1228	0	3	1	0	2	0
cds1229	0	0	0	1	1	0
cds123	3	3	15	8	31	5
cds1230	2	7	3	0	9	0
cds1231	0	0	1	0	4	0
cds1232	0	5	18	1	19	30
cds1233	0	8	8	1	11	0
cds1234	4	8	26	13	52	7
cds1235	2	15	67	27	72	23
cds1236	4	1	126	27	181	26
cds1237	0	0	10	12	7	1
cds1238	1	22	65	33	144	43
cds1239	0	5	32	16	61	0
cds124	0	0	1	0	2	0
cds1240	0	0	2	5	14	0
cds1241	0	0	2	0	2	0
cds1242	0	0	1	0	3	0
cds1243	0	8	31	44	193	0
cds1244	1	3	20	7	21	13
cds1245	5	8	19	16	31	16
cds1246	22	38	76	25	103	81
cds1247	13	61	103	26	191	72
cds1248	0	7	4	1	5	8
cds1249	0	5	2	2	8	0
cds125	2	30	65	38	176	17
cds1250	0	0	4	4	15	3
cds1251	0	0	3	0	23	0
cds1252	0	0	8	1	12	6
cds1253	2	5	1	2	11	12
cds1254	1	0	2	0	2	14
cds1255	0	0	3	4	17	0
cds1256	2	5	11	5	39	8
cds1257	0	0	9	0	4	0
cds1258	0	12	23	2	6	4
cds1259	10	18	35	12	31	43
cds126	5	0	6	3	21	0
cds1260	0	0	12	2	13	11
cds1261	0	15	54	26	103	27
cds1262	2	13	24	18	64	2
cds1263	11	43	92	40	121	67
cds1264	0	19	17	0	8	8
cds1265	4	8	26	11	33	9
cds1266	2	24	17	6	34	23
cds1267	2	1	4	1	5	5
cds1268	0	0	0	1	0	0
cds1269	0	0	1	0	0	0
cds127	0	3	0	1	2	0
cds1270	0	13	3	2	7	0
cds1271	0	0	0	2	0	0
cds1272	3	34	14	7	48	42
cds1273	1	10	28	6	51	0
cds1274	0	15	32	11	74	9
cds1275	0	3	5	6	9	0
cds1276	3	13	16	2	21	0
cds1277	0	0	1	1	1	0
cds1278	1	0	2	2	5	4
cds1279	0	0	2	1	7	0
cds128	0	6	9	7	21	0
cds1280	0	0	0	0	0	0
cds1281	0	0	2	1	5	0
cds1282	0	0	1	0	7	0
cds1283	0	0	0	1	3	0
cds1284	0	13	15	5	53	2
cds1285	0	0	5	2	8	9
cds1286	10	44	19	14	76	27
cds1287	0	10	1	0	5	9
cds1288	0	4	9	10	44	27
cds1289	2	73	29	21	93	10
cds129	1	0	15	7	14	0
cds1290	6	24	29	15	75	31
cds1291	0	0	33	8	50	0
cds1292	1	4	172	20	62	1
cds1293	0	20	31	11	42	13
cds1294	0	0	4	1	4	0
cds1295	0	5	8	4	20	2
cds1296	2	0	12	13	38	15
cds1297	6	9	2	0	6	3
cds1298	0	0	1	0	5	3
cds1299	0	0	3	2	3	0
cds13	2	28	1	1	4	12
cds130	4	0	44	45	209	3
cds1300	0	0	1	1	5	0
cds1301	2	35	61	30	129	11
cds1302	1	20	114	51	159	20
cds1303	4	25	78	43	259	0
cds1304	2	2	18	6	39	0
cds1305	0	1	14	5	39	0
cds1306	14	52	139	90	283	27
cds1307	1	10	94	31	168	10
cds1308	0	5	52	11	83	0
cds1309	1	0	19	4	70	9
cds131	0	0	0	1	0	0
cds1310	0	0	0	0	6	0
cds1311	3	8	36	30	133	15
cds1312	0	4	5	5	10	2
cds1313	7	16	27	3	10	13
cds1314	0	0	3	0	0	0
cds1315	0	0	4	0	2	0
cds1316	0	3	36	0	14	0
cds1317	0	4	35	1	15	30
cds1318	0	0	10	12	34	3
cds1319	0	0	6	0	8	0
cds132	0	0	8	1	8	0
cds1320	0	0	0	0	2	0
cds1321	0	6	22	23	73	10
cds1322	0	6	7	0	2	0
cds1323	2	0	1	3	12	0
cds1324	0	0	4	1	14	0
cds1325	1	0	6	2	8	20
cds1326	0	7	16	2	18	0
cds1327	1	15	31	4	26	0
cds1328	0	0	6	5	7	0
cds1329	0	0	4	1	9	0
cds133	0	6	56	9	75	0
cds1330	0	0	0	0	0	0
cds1331	0	6	2	4	27	0
cds1332	0	0	1	0	5	0
cds1333	1	9	13	1	4	3
cds1334	5	49	15	6	12	1
cds1335	1	9	21	26	125	11
cds1336	0	0	43	14	98	12
cds1337	7	62	75	21	203	13
cds1338	0	14	7	7	24	0
cds1339	0	0	5	3	13	1
